Play_ID,Metric_ID,Peer_or_Archetype,Play_Name,Metric_Moved,Delta,Enablers,Reference_Pattern,Domain
PLAY-0272,MET-0054,Cross-industry leader,Cross-industry leader consolidated crew utilization %,Crew Utilization % (Operations),+1.0 %,dynamic pricing engine|loyalty personalization engine|computer-vision bag tracking|real-time ops data,Self-Service Shift,Operations
PLAY-0273,MET-0163,Top-quartile carrier,Top-quartile carrier optimized on-time performance %,On-Time Performance % (Finance),+4.1 %,cargo capacity optimizer|crew-ops AI|network optimization solver,Platform Consolidation,Operations
PLAY-0274,MET-0093,Digital-native peer,Digital-native peer digitized employee attrition rate,Employee Attrition Rate (Customer),-3.5 %,automated revenue accounting|rebooking automation|cargo capacity optimizer|dynamic pricing engine,AI Optimization,Workforce
PLAY-0275,MET-0145,LCC archetype,LCC archetype re-engineered schedule reliability %,Schedule Reliability % (Corporate),+1.0 %,loyalty personalization engine|rebooking automation|dynamic pricing engine,Automation,Operations
PLAY-0276,MET-0150,Cross-industry leader,Cross-industry leader re-engineered disruption recovery time,Disruption Recovery Time (Corporate),-2.7 hours,rebooking automation|crew-ops AI|fuel-burn optimization,AI Optimization,Operations
PLAY-0277,MET-0028,Best-in-class operator,Best-in-class operator automated maintenance cost per flight hour,Maintenance Cost per Flight Hour,-2.8 $,predictive maintenance|cargo capacity optimizer,Automation,Maintenance
PLAY-0278,MET-0109,Flag-carrier peer,Flag-carrier peer deployed AI for mishandled bags per 1000,Mishandled Bags per 1000 (Customer),-3.4 rate,self-service rebooking|network optimization solver|predictive maintenance|fuel-burn optimization,Self-Service Shift,Customer
PLAY-0279,MET-0050,Flag-carrier peer,Flag-carrier peer deployed AI for aircraft utilization,Aircraft Utilization (Operations),+1.4 hours,automated revenue accounting|network optimization solver|digital twin of operations,Real-time Decisioning,Operations
PLAY-0280,MET-0134,Cross-industry leader,Cross-industry leader deployed AI for load factor %,Load Factor % (Corporate),+1.7 %,self-service rebooking|fuel-burn optimization|cargo capacity optimizer,AI Optimization,Commercial
PLAY-0281,MET-0011,Top-quartile carrier,Top-quartile carrier digitized safety incident rate,Safety Incident Rate,-3.8 rate,rebooking automation|digital twin of operations|cargo capacity optimizer|demand-sensing ML,Self-Service Shift,Operations
PLAY-0282,MET-0162,Top-quartile carrier,Top-quartile carrier deployed AI for cyber mean-time-to-detect,Cyber Mean-Time-to-Detect (Finance),-4.4 hours,generative customer assistant|digital twin of operations|real-time ops data|cargo capacity optimizer,Self-Service Shift,Risk
PLAY-0283,MET-0005,LCC archetype,LCC archetype consolidated ebit margin,EBIT Margin,+3.5 %,self-service rebooking|network optimization solver|real-time ops data|generative customer assistant,AI Optimization,Finance
PLAY-0284,MET-0178,Digital-native peer,Digital-native peer consolidated maintenance cost per flight hour,Maintenance Cost per Flight Hour (Finance),-3.8 $,cargo capacity optimizer|network optimization solver|dynamic pricing engine,AI Optimization,Maintenance
PLAY-0285,MET-0120,Cross-industry leader,Cross-industry leader re-engineered disruption recovery time,Disruption Recovery Time (Customer),-3.6 hours,demand-sensing ML|network optimization solver|loyalty personalization engine|self-service rebooking,Predictive Analytics,Operations
PLAY-0286,MET-0123,Cross-industry leader,Cross-industry leader optimized employee attrition rate,Employee Attrition Rate (Corporate),-4.2 %,generative customer assistant|crew-ops AI,AI Optimization,Workforce
PLAY-0287,MET-0139,Cross-industry leader,Cross-industry leader automated mishandled bags per 1000,Mishandled Bags per 1000 (Corporate),-3.4 rate,crew-ops AI|real-time ops data|demand-sensing ML|digital twin of operations,Automation,Customer
PLAY-0288,MET-0160,LCC archetype,LCC archetype deployed AI for procurement cost savings,Procurement Cost Savings (Finance),+4.3 %,generative customer assistant|fuel-burn optimization,Automation,Corporate
PLAY-0289,MET-0077,Cross-industry leader,Cross-industry leader digitized completion factor %,Completion Factor % (Maintenance),+3.3 %,fuel-burn optimization|predictive maintenance|automated revenue accounting,Predictive Analytics,Operations
PLAY-0290,MET-0071,Top-quartile carrier,Top-quartile carrier deployed AI for safety incident rate,Safety Incident Rate (Maintenance),-3.8 rate,network optimization solver|dynamic pricing engine,Self-Service Shift,Operations
PLAY-0291,MET-0100,Digital-native peer,Digital-native peer deployed AI for procurement cost savings,Procurement Cost Savings (Customer),+2.8 %,real-time ops data|fuel-burn optimization|crew-ops AI,Self-Service Shift,Corporate
PLAY-0292,MET-0055,Best-in-class operator,Best-in-class operator digitized schedule reliability %,Schedule Reliability % (Operations),+1.0 %,loyalty personalization engine|cargo capacity optimizer,AI Optimization,Operations
PLAY-0293,MET-0144,Flag-carrier peer,Flag-carrier peer consolidated crew utilization %,Crew Utilization % (Corporate),+3.8 %,cargo capacity optimizer|generative customer assistant|real-time ops data|digital twin of operations,Real-time Decisioning,Operations
PLAY-0294,MET-0156,Digital-native peer,Digital-native peer optimized days sales outstanding,Days Sales Outstanding (Finance),-4.4 days,cargo capacity optimizer|self-service rebooking|fuel-burn optimization|crew-ops AI,Platform Consolidation,Finance
PLAY-0295,MET-0108,Top-quartile carrier,Top-quartile carrier digitized ancillary revenue per pax,Ancillary Revenue per Pax (Customer),+1.9 $,fuel-burn optimization|cargo capacity optimizer|real-time ops data|self-service rebooking,Predictive Analytics,Commercial
PLAY-0296,MET-0003,Digital-native peer,Digital-native peer deployed AI for employee attrition rate,Employee Attrition Rate,-3.6 %,digital twin of operations|demand-sensing ML,Automation,Workforce
PLAY-0297,MET-0067,Digital-native peer,Digital-native peer re-engineered digital self-service rate,Digital Self-Service Rate (Maintenance),+2.3 %,loyalty personalization engine|fuel-burn optimization|rebooking automation,Generative Assist,Customer
PLAY-0298,MET-0150,Digital-native peer,Digital-native peer digitized disruption recovery time,Disruption Recovery Time (Corporate),-4.1 hours,real-time ops data|digital twin of operations|rebooking automation|automated revenue accounting,AI Optimization,Operations
PLAY-0299,MET-0065,Flag-carrier peer,Flag-carrier peer optimized ebit margin,EBIT Margin (Maintenance),+1.4 %,loyalty personalization engine|digital twin of operations|real-time ops data|automated revenue accounting,Real-time Decisioning,Finance
PLAY-0300,MET-0112,Digital-native peer,Digital-native peer automated turnaround time,Turnaround Time (Customer),-2.2 minutes,self-service rebooking|cargo capacity optimizer|predictive maintenance|generative customer assistant,Predictive Analytics,Operations
