ui_mode,component,business_purpose,required_object,required_fields,required_grain,required_relationships,required_evidence,required_authority_review_state,required_availability_freshness_state,required_current_target_semantics,required_metric_cube_semantics,required_access_control_behavior,existing_canonical_source,existing_projection_api,current_support_status,missing_table_field_relationship_or_projection,data_quality_reconciliation_dependency,render_gate,safe_empty_state_behavior
aVa,Condition/demo selector (normal / newer-baseline-published / partial-data / gap-view-not-certified / evidence-restricted / models-disabled),This IS the render-gate specification acted out as a live UI toggle -- each condition maps directly to an availability_state / authority_state / access-control scenario,"Every object's availability_state/authority_state/classification fields, driving a top-of-page notice banner","Per-condition: which objects are stale, which view is uncertified, which sources are withheld/restricted, whether any model provider is available",Not applicable,"Notice banner must be computed from real per-object state, not a hardcoded demo toggle",Not applicable,'Gap view not certified' condition requires a publication-certification flag distinct from authority_state=accepted,This selector is the clearest single artifact of the intended render-gate design in the whole prototype,Not applicable,Not applicable,"'Evidence restricted' condition requires real classification-based access filtering, already specified in context-corpus-policy.ts (SENSITIVE_CLASSIFICATIONS)",Not applicable,PARTIAL_DATA_AND_EMPTY_STATE_CONTRACT.md defines the exact vocabulary this selector dramatizes,MODEL_SUPPORTED_DATA_NOT_READY,"The CONTRACT is right (see the Evidence&Gaps withheld-panel row above); what's missing is (a) a real 'publication not certified' flag distinct from authority_state, and (b) a renderer that computes this banner from live object state rather than a hardcoded demo dropdown","This selector is effectively the design spec for KNOWLEDGE_CUBE_RENDER_GATES.md and KNOWLEDGE_GRAPH_BINDING_CONTRACT.md -- every condition it models must become a real, computed render gate","Each condition's banner computes from real object state per page load, never from a manually-selected demo value",Banner disappears entirely (not shown as 'normal') only when every underlying object genuinely resolves to a healthy state
Current versus target,"Compare canvas (Current state panel vs Target state panel: proposed-not-approved vs approved distinction, disputed start date)","Show what changes between current and target state for a system/domain, with target approval clearly separated from proposal","Any canonical object (Application, Program, Metric) extended with state_scope and target_approval_state","state_scope (current|target), target_approval_state (proposed|approved), target_start_date, target_start_date_source (roadmap vs finance record, since the prototype shows these disagreeing)","Two rows (current + target) per compared entity, or one row with a scope flag",Target row -> replaces -> current row,Target claims need their own evidence distinct from current-state evidence,Approved target requires a higher bar than proposed target -- this distinction does not exist in authority_state today (accepted/candidate/published/retired/superseded has no 'proposed vs approved target' pairing),Not applicable,"This is the primary, page-level home for current/target semantics",Not applicable,Not applicable,"knowledge.application, knowledge.program (current-state fields only)",None,DATA_MODEL_EXTENSION_REQUIRED,"No state_scope or target_approval_state field exists anywhere in the Enterprise IA object model, the registry, or the field contract. This is a structural gap that affects Brief Goals, Relationships target-overlay, and this canvas identically -- one fix would resolve all three.",Not applicable,state_scope/target_approval_state fields ratified and populated for both sides of the comparison,Show current-state panel only with 'Target state not yet governed' in place of the target panel
Current versus target,Trajectory chart (measured historical values + projected values against a board target line),Show a metric's improvement path from observed history through funded-work projection to a board target,consumption.metric_observation_v1 extended with a forward-projection series tied to funded program milestones,"metric_id, observed_series[] (date, value), projected_series[] (date, value, basis='funded work'), target_value, target_date","One time series per metric per tenant per baseline, with a distinct projected sub-series","Projected series must trace to specific funded Initiative milestones, not be a freehand trend line",Every projected point must cite the program/initiative funding it assumes,"Observed points are accepted facts; projected points are explicitly model-or-plan-derived, never presented as measured",Not applicable,Distinguishes 'measured to date' from 'projected' from 'board target' as three explicitly different semantics on one chart,No registered Cube measure or dimension supports a forward-projection series today,Not applicable,metrics.metric_observation (historical values only),consumption.metric_observation_v1 (registered) covers observed values only,DATA_MODEL_EXTENSION_REQUIRED,No registered concept of a forward projection/forecast series tied to funded program milestones exists anywhere in the reviewed packages,"Even the historical half of this chart depends on metric_observation_v1, confirmed broken for this tenant's KPI family (SD-06)",Historical series resolves from real metric_observation_v1 data AND a governed projection-series field exists and cites real funded-initiative milestones,Omit the chart; do not draw a projected line from an assumption not tied to a real funded initiative
Decision readiness,"Readiness quadrant scatter (value at stake % vs evidence-readiness %, funded programs, gate-policy color)","Plot funded programs by expected value against how ready the evidence behind them is, to sequence investment correctly",consumption.module_knowledge_packet_v1 (ProgramRiskControl Cube model) extended with a 'value at stake' estimate field,"program_id, value_at_stake_pct, evidence_readiness_pct, gate_policy_state",One row per funded program per tenant per baseline,Program -> implements -> AIUseCase; Program's evidence_readiness derives from its dependent data products/metrics' availability_state,"value_at_stake must trace to a funded business case, not be estimated from 'dependency scope' as the prototype's own aVa answer admits doing",Not applicable,Not applicable,Not applicable,Cube ProgramRiskControl.program_at_risk_count and decision_readiness_score are both cube_gap -- no confirmed rows,Not applicable,knowledge.program,"consumption.module_knowledge_packet_v1 (registered, but programs family has no confirmed landing)",PROJECTION_MISSING,"Programs family (190 rows) has no confirmed landing anywhere; decision_readiness_score Cube measure is cube_gap; value_at_stake has no source field at all -- the prototype's own aVa answer for this exact chart admits 'Value at stake for two cases is estimated from dependency scope, not from a funded business case'",Same programs-family gap as the Explore Programmes table row; audit Sec 8 lists both ProgramRiskControl measures as cube_gap,"module_knowledge_packet_v1 populated for programs AND value_at_stake resolves to a real funded business-case figure, not a dependency-count proxy",Omit the quadrant; do not plot an estimated value-at-stake position as if it were a governed figure
Saved views and export,Shareable saved-view link (personal-by-default vs shared-at-business-problem-level),Let a saved view be reopened by the same user or shared with a team,"Same saved_view operational UI table as the Explore Save/Export row, extended with a share_scope field","share_scope (personal|business_problem|tenant), shared_with_role[]",Same as Explore save/export row,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,"Whether saved views are personal by default or shared at the business-problem level is an explicit OPEN DESIGN DECISION named in the prototype's own notes -- must be resolved before building, not deferred to implementation",Not applicable,Not applicable,DESIGN_ONLY_NOT_YET_IMPLEMENTABLE,"Same operational-table gap as Explore Save/Export, plus an unresolved product decision on default sharing scope that blocks even the schema design",Not applicable,Not applicable,Not applicable
Module handoffs,"Handoff modal (Send to Moves/Tower/Source/Intelligence; carried-by-reference rows: business problem, scope, insight reference, entities carried, knowledge snapshot, evidence carried, readiness, known gaps travelling)","Carry Knowledge's scope and evidence into another module by reference, never by copy, so Knowledge remains the one source of truth",consumption.module_knowledge_packet_v1,"Same header fields as the aVa scope banner row, plus target_module, carried_entity_refs[], carried_evidence_refs[]",One packet per handoff event per tenant per baseline,"Packet -> module_key -> target module's own receiving object (Moves Move, Tower outcome tracker, Source opportunity, Intelligence problem)","'Evidence carried - by reference' must resolve to real accepted_fact_refs, not a hand-written summary sentence",Only accepted content may travel in a handoff,Snapshot version must be explicit ('Snapshot 4 - relationships publication 1.4 - applications 1.3') so the receiving module can detect staleness later,'Readiness: Decision-ready for X; directional for Y' implies the same readiness taxonomy gap flagged elsewhere must be resolved before this can be a real field,Not applicable,Handoff must not carry restricted content into a module with a different access boundary,"publication.active_knowledge_baseline, consumption.*",consumption.module_knowledge_packet_v1 (registered); MODULE_CONSUMPTION_MAPPING.xlsx explicitly declares allowed/denied sources and certification_required per consuming module,PROJECTION_MISSING,"Contract is well-specified (MODULE_CONSUMPTION_MAPPING.xlsx names exactly what each module may/may not read), but module_knowledge_packet_v1 itself is unpopulated for this tenant -- this is the connective tissue for every cross-module feature in the prototype and is the single largest-fanout gap in the whole surface",Audit Sec 2/Sec 8: module_knowledge_packet_v1 absent from populated breakdown,module_knowledge_packet_v1 populated for the target module AND MODULE_CONSUMPTION_MAPPING's certification_required check passes for that module,Disable the 'Confirm handoff' action with 'Not yet available for this tenant' rather than creating a downstream object with no real carried context
Module handoffs,Receiving-module confirmation ('Tower tracks the outcome against this evidence and readiness' / 'Moves creates a Move that carries this context'),Prove the receiving module actually re-reads Knowledge rather than snapshotting it once,"Tower's TowerOutcomes Cube domain / Moves' program-decision link object, both requiring the same module_knowledge_packet_v1","receiving_object_id, source_packet_ref, last_resynced_at",One receiving object per handoff,Receiving object -> re-reads -> module_knowledge_packet_v1 (not a one-time copy),Not applicable,Not applicable,Must be able to show when it last resynced against Knowledge,Not applicable,"Per AGENTS.md's own Tower invariant: 'Tower read models and metric/fact tables own values; Claude owns narrative; the graph may explain dependency context but must never calculate spend, value, ROI, or risk metrics' -- any handoff-carried metric must resolve through Tower's own metric_observation_v1 path, not just be narrated in the handoff text",Not applicable,Not applicable,"Cube TowerOutcomes domain is named in CUBE_SEMANTIC_MODEL_CONTRACT.md's initial-domains list but not present in the actually-shipped knowledge_consumption_model.yml (only 7 of the 10 named domains are implemented: EnterpriseKnowledge, ApplicationPortfolio, TechnologyEstate, DataAnalyticsEstate, VendorContractPortfolio, RelationshipGraph, ProgramRiskControl -- SourceEvent, TowerOutcomes and KnowledgeCoverage are named in the contract doc but absent from the YAML)",PROJECTION_MISSING,"TowerOutcomes, SourceEvent, and KnowledgeCoverage Cube domains are specified in CUBE_SEMANTIC_MODEL_CONTRACT.md but not implemented in knowledge_consumption_model.yml -- a design/implementation drift independent of the airline-demo-new-specific findings",Same module_knowledge_packet_v1 unpopulated dependency as the handoff modal row,TowerOutcomes/SourceEvent/KnowledgeCoverage Cube domains implemented AND module_knowledge_packet_v1 populated,"Do not show a receiving-module confirmation as complete until the receiving object is proven to re-read, not just once-copy, the source packet"
Cross-cutting,"Restricted evidence access (board-only content: existence/state/owner visible, content withheld; request-access flow)",Enforce classification-based access without hiding that something exists,classification field (pii/phi/restricted) per GovernedObjectSchema in context-corpus-policy.ts,"classification, owner, access_request_id (for the request-access workflow)",Per governed object,Not applicable,Existence/state/owner must still render even when content is withheld,Not applicable,availability_state=withheld is an explicit allowed state,Not applicable,Not applicable,SENSITIVE_CLASSIFICATIONS (pii/phi/restricted) may never enter shared corpus or an agent bundle by default per context-corpus-policy.ts -- this rule IS implemented at the governance layer today,src/lib/governance/context-corpus-policy.ts (GovernedObjectSchema.classification),"evaluateGovernedObject() runtime gate (implemented, real code, not just a contract doc)",MODEL_SUPPORTED_DATA_NOT_READY,"Classification gating itself is genuinely implemented in code today (rare in this matrix). What is missing is the UI's 'request access' workflow object (who asked, why, what was released, routed to strategy office) -- not modeled anywhere",Not applicable,"Object's classification resolves AND, for restricted objects, existence/owner still render even though content does not","Show 'This evidence is classified board-only' plus owner, exactly as the prototype already models, never a silent 404"
Cross-cutting,"Uncertified-gap-view notice ('gap view not certified' -- gap counts must be withheld and explicitly flagged, never silently shown as no gaps)",Distinguish 'we checked and found nothing' from 'this view has not passed its own publication checks',"A publication-certification flag on the evidence_gap_v1 rollup, distinct from authority_state",certification_state (certified|not_certified) at the domain_summary_v1 / evidence_gap_v1 rollup grain,One certification flag per rollup per baseline,Not applicable,Not applicable,Not applicable,This is precisely the distinction PARTIAL_DATA_AND_EMPTY_STATE_CONTRACT.md's non-negotiable conversions exist to prevent,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,DATA_MODEL_EXTENSION_REQUIRED,"No certification_state field distinct from authority_state exists in the registry or field contract -- this is exactly the gap that, if left unfixed, is what makes SD-05's false '0 open gaps' signal possible in the first place",Directly related to SD-05 -- this notice is the safety valve that SD-05's silent failure mode needs and currently lacks,certification_state field ratified and populated before any gap-count rollup renders a bare number,'Withheld -- gap view not certified' exactly as the prototype already models for this condition
Cross-cutting,"Stale-baseline notice ('newer baseline published two hours ago -- N new accepted facts, one new contradiction')",Tell the user when they are reading a superseded snapshot and what changed,A baseline-diff/changelog object comparing two knowledge_baseline_ref values,"from_baseline_ref, to_baseline_ref, new_fact_count, new_contradiction_count, changed_domains[]",One diff per baseline transition per tenant,Diff -> knowledge_baseline_ref (both sides),Not applicable,Not applicable,"Baseline pointer-swap itself IS supported per LAST_KNOWN_GOOD_AND_ROLLBACK_CONTRACT.md (rollback is a pointer change, not a destructive rewrite) -- but a human-readable 'what changed' summary between two baselines is not",Not applicable,Not applicable,Not applicable,publication.active_knowledge_baseline (pointer only),None for the diff summary specifically,DATA_MODEL_EXTENSION_REQUIRED,"Baseline versioning and rollback mechanics are real and well-specified; a derived, human-readable changelog between two baseline versions is not",Not applicable,A baseline-diff computation exists and resolves between the currently-read baseline and the latest published one,Suppress the notice entirely (never show a fabricated 'X new facts' count) until a real diff mechanism exists
Cross-cutting,Models-disabled zero-model baseline banner (aVa's reasoning lost; deterministic route named for the same question),"Prove the whole surface is genuinely deterministic-first: prove that with every model provider off, exactly one capability (aVa's reasoning) is lost and nothing else",A model-availability flag plus a deterministic-equivalent routing table mapping each aVa answer type to its non-model fallback path,"model_provider_status, deterministic_fallback_ref per answer type",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,DESIGN_ONLY_NOT_YET_IMPLEMENTABLE,"This is a strong design principle worth keeping, but neither a real model-availability flag nor a deterministic-fallback routing table exists yet. It also presumes every other component in Explore/Relationships/Evidence&Gaps is already fully deterministic and model-free, which is true of the prototype's design intent but not yet proven against real, reconciled data for this tenant.",Not applicable,Not applicable,Not applicable
