application_id,application_name,family,business_function,application_type,hosting_model,technology_stack,environment,criticality,service_tower,vendor_id,contract_id,rto_rpo,evidence_gap,roadmap_disposition
APP-AIRDN-0637,Digital commerce mobile web contact center 012,Digital commerce mobile web contact center,Technology,low-use high-risk legacy,container/Kubernetes,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-218,CONT-AIRDN-0638,RTO 4-12 hrs / RPO same day,interface evidence needed,current
APP-AIRDN-0638,Digital commerce mobile web contact center 013,Digital commerce mobile web contact center,Commercial,strategic platform,AWS workload,container/Kubernetes,production,high,Digital Customer and Loyalty AMS,VEND-AIRDN-219,CONT-AIRDN-0639,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,sunset candidate
APP-AIRDN-0639,Digital commerce mobile web contact center 014,Digital commerce mobile web contact center,Passenger Service,regional duplicate,Azure workload,API gateway/iPaaS,DR,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-220,CONT-AIRDN-0640,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0640,Digital commerce mobile web contact center 015,Digital commerce mobile web contact center,Digital,acquired-carrier inherited system,SaaS,Salesforce-style CRM,pre-production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-221,CONT-AIRDN-0641,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0641,Digital commerce mobile web contact center 016,Digital commerce mobile web contact center,Technology,end-of-life application,container/Kubernetes,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-222,CONT-AIRDN-0642,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0642,Digital commerce mobile web contact center 017,Digital commerce mobile web contact center,Commercial,shadow IT,AWS workload,API gateway/iPaaS,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-223,CONT-AIRDN-0643,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0643,Digital commerce mobile web contact center 018,Digital commerce mobile web contact center,Passenger Service,custom Java/.NET,Azure workload,Salesforce-style CRM,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-224,CONT-AIRDN-0644,RTO/RPO to confirm,interface evidence needed,current
APP-AIRDN-0644,Digital commerce mobile web contact center 019,Digital commerce mobile web contact center,Digital,mainframe workload,SaaS,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-225,CONT-AIRDN-0645,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0645,Digital commerce mobile web contact center 020,Digital commerce mobile web contact center,Technology,SAP module,container/Kubernetes,container/Kubernetes,pre-production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-226,CONT-AIRDN-0646,RTO 4-12 hrs / RPO same day,source-backed candidate,modernize
APP-AIRDN-0646,Digital commerce mobile web contact center 021,Digital commerce mobile web contact center,Commercial,SaaS product,AWS workload,API gateway/iPaaS,DR,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-227,CONT-AIRDN-0647,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0647,Digital commerce mobile web contact center 022,Digital commerce mobile web contact center,Passenger Service,operationally critical airline product,Azure workload,Salesforce-style CRM,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-228,CONT-AIRDN-0648,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0648,Digital commerce mobile web contact center 023,Digital commerce mobile web contact center,Digital,low-use high-risk legacy,SaaS,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-229,CONT-AIRDN-0649,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0649,Digital commerce mobile web contact center 024,Digital commerce mobile web contact center,Technology,strategic platform,container/Kubernetes,container/Kubernetes,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-230,CONT-AIRDN-0650,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0650,Digital commerce mobile web contact center 025,Digital commerce mobile web contact center,Commercial,regional duplicate,AWS workload,API gateway/iPaaS,pre-production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-231,CONT-AIRDN-0651,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0651,Digital commerce mobile web contact center 026,Digital commerce mobile web contact center,Passenger Service,acquired-carrier inherited system,Azure workload,Salesforce-style CRM,production,high,Digital Customer and Loyalty AMS,VEND-AIRDN-232,CONT-AIRDN-0652,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,sunset candidate
APP-AIRDN-0652,Digital commerce mobile web contact center 027,Digital commerce mobile web contact center,Digital,end-of-life application,SaaS,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-233,CONT-AIRDN-0653,RTO/RPO to confirm,source-backed candidate,current
APP-AIRDN-0653,Digital commerce mobile web contact center 028,Digital commerce mobile web contact center,Technology,shadow IT,container/Kubernetes,container/Kubernetes,DR,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-234,CONT-AIRDN-0654,RTO 4-12 hrs / RPO same day,source-backed candidate,current
APP-AIRDN-0654,Digital commerce mobile web contact center 029,Digital commerce mobile web contact center,Commercial,custom Java/.NET,AWS workload,API gateway/iPaaS,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-235,CONT-AIRDN-0655,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0655,Digital commerce mobile web contact center 030,Digital commerce mobile web contact center,Passenger Service,mainframe workload,Azure workload,Salesforce-style CRM,pre-production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-236,CONT-AIRDN-0656,RTO 0-4 hrs / RPO under 1 hr,interface evidence needed,modernize
APP-AIRDN-0656,Digital commerce mobile web contact center 031,Digital commerce mobile web contact center,Digital,SAP module,SaaS,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-237,CONT-AIRDN-0657,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0657,Digital commerce mobile web contact center 032,Digital commerce mobile web contact center,Technology,SaaS product,container/Kubernetes,container/Kubernetes,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-238,CONT-AIRDN-0658,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0658,Digital commerce mobile web contact center 033,Digital commerce mobile web contact center,Commercial,operationally critical airline product,AWS workload,API gateway/iPaaS,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-239,CONT-AIRDN-0659,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0659,Digital commerce mobile web contact center 034,Digital commerce mobile web contact center,Passenger Service,low-use high-risk legacy,Azure workload,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-240,CONT-AIRDN-0660,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0660,Digital commerce mobile web contact center 035,Digital commerce mobile web contact center,Digital,strategic platform,SaaS,container/Kubernetes,DR,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-241,CONT-AIRDN-0661,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0661,Digital commerce mobile web contact center 036,Digital commerce mobile web contact center,Technology,regional duplicate,container/Kubernetes,API gateway/iPaaS,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-242,CONT-AIRDN-0662,RTO/RPO to confirm,interface evidence needed,current
APP-AIRDN-0662,Digital commerce mobile web contact center 037,Digital commerce mobile web contact center,Commercial,acquired-carrier inherited system,AWS workload,Salesforce-style CRM,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-243,CONT-AIRDN-0663,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0663,Digital commerce mobile web contact center 038,Digital commerce mobile web contact center,Passenger Service,end-of-life application,Azure workload,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-244,CONT-AIRDN-0664,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0664,Digital commerce mobile web contact center 039,Digital commerce mobile web contact center,Digital,shadow IT,SaaS,container/Kubernetes,production,high,Digital Customer and Loyalty AMS,VEND-AIRDN-245,CONT-AIRDN-0665,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,sunset candidate
APP-AIRDN-0665,Digital commerce mobile web contact center 040,Digital commerce mobile web contact center,Technology,custom Java/.NET,container/Kubernetes,API gateway/iPaaS,pre-production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-246,CONT-AIRDN-0666,RTO 4-12 hrs / RPO same day,owner attestation needed,modernize
APP-AIRDN-0666,Digital commerce mobile web contact center 041,Digital commerce mobile web contact center,Commercial,mainframe workload,AWS workload,Salesforce-style CRM,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-247,CONT-AIRDN-0667,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0667,Digital commerce mobile web contact center 042,Digital commerce mobile web contact center,Passenger Service,SAP module,Azure workload,Java/.NET custom,DR,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-248,CONT-AIRDN-0668,RTO 0-4 hrs / RPO under 1 hr,interface evidence needed,current
APP-AIRDN-0668,Digital commerce mobile web contact center 043,Digital commerce mobile web contact center,Digital,SaaS product,SaaS,container/Kubernetes,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-249,CONT-AIRDN-0669,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0669,Digital commerce mobile web contact center 044,Digital commerce mobile web contact center,Technology,operationally critical airline product,container/Kubernetes,API gateway/iPaaS,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-250,CONT-AIRDN-0670,RTO 4-12 hrs / RPO same day,source-backed candidate,current
APP-AIRDN-0670,Digital commerce mobile web contact center 045,Digital commerce mobile web contact center,Commercial,low-use high-risk legacy,AWS workload,Salesforce-style CRM,pre-production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-251,CONT-AIRDN-0671,RTO/RPO to confirm,source-backed candidate,modernize
APP-AIRDN-0671,Digital commerce mobile web contact center 046,Digital commerce mobile web contact center,Passenger Service,strategic platform,Azure workload,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-252,CONT-AIRDN-0672,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0672,Digital commerce mobile web contact center 047,Digital commerce mobile web contact center,Digital,regional duplicate,SaaS,container/Kubernetes,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-253,CONT-AIRDN-0673,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0673,Digital commerce mobile web contact center 048,Digital commerce mobile web contact center,Technology,acquired-carrier inherited system,container/Kubernetes,API gateway/iPaaS,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-254,CONT-AIRDN-0674,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0674,Digital commerce mobile web contact center 049,Digital commerce mobile web contact center,Commercial,end-of-life application,AWS workload,Salesforce-style CRM,DR,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-255,CONT-AIRDN-0675,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0675,Digital commerce mobile web contact center 050,Digital commerce mobile web contact center,Passenger Service,shadow IT,Azure workload,Java/.NET custom,pre-production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-256,CONT-AIRDN-0676,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0676,Digital commerce mobile web contact center 051,Digital commerce mobile web contact center,Digital,custom Java/.NET,SaaS,API gateway/iPaaS,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-257,CONT-AIRDN-0677,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0677,Digital commerce mobile web contact center 052,Digital commerce mobile web contact center,Technology,mainframe workload,container/Kubernetes,Salesforce-style CRM,production,high,Digital Customer and Loyalty AMS,VEND-AIRDN-258,CONT-AIRDN-0678,RTO 4-12 hrs / RPO same day,source-backed candidate,sunset candidate
APP-AIRDN-0678,Digital commerce mobile web contact center 053,Digital commerce mobile web contact center,Commercial,SAP module,AWS workload,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-259,CONT-AIRDN-0679,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0679,Digital commerce mobile web contact center 054,Digital commerce mobile web contact center,Passenger Service,SaaS product,Azure workload,container/Kubernetes,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-260,CONT-AIRDN-0680,RTO/RPO to confirm,interface evidence needed,current
APP-AIRDN-0680,Digital commerce mobile web contact center 055,Digital commerce mobile web contact center,Digital,operationally critical airline product,SaaS,API gateway/iPaaS,pre-production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-261,CONT-AIRDN-0681,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0681,Digital commerce mobile web contact center 056,Digital commerce mobile web contact center,Technology,low-use high-risk legacy,container/Kubernetes,Salesforce-style CRM,DR,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-262,CONT-AIRDN-0682,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0682,Digital commerce mobile web contact center 057,Digital commerce mobile web contact center,Commercial,strategic platform,AWS workload,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-263,CONT-AIRDN-0683,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0683,Digital commerce mobile web contact center 058,Digital commerce mobile web contact center,Passenger Service,regional duplicate,Azure workload,container/Kubernetes,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-264,CONT-AIRDN-0684,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0684,Digital commerce mobile web contact center 059,Digital commerce mobile web contact center,Digital,acquired-carrier inherited system,SaaS,API gateway/iPaaS,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-265,CONT-AIRDN-0685,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0685,Digital commerce mobile web contact center 060,Digital commerce mobile web contact center,Technology,end-of-life application,container/Kubernetes,Salesforce-style CRM,pre-production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-266,CONT-AIRDN-0686,RTO 4-12 hrs / RPO same day,interface evidence needed,modernize
APP-AIRDN-0686,Digital commerce mobile web contact center 061,Digital commerce mobile web contact center,Commercial,shadow IT,AWS workload,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-267,CONT-AIRDN-0687,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0687,Digital commerce mobile web contact center 062,Digital commerce mobile web contact center,Passenger Service,custom Java/.NET,Azure workload,container/Kubernetes,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-268,CONT-AIRDN-0688,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0688,Digital commerce mobile web contact center 063,Digital commerce mobile web contact center,Digital,mainframe workload,SaaS,API gateway/iPaaS,DR,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-269,CONT-AIRDN-0689,RTO/RPO to confirm,source-backed candidate,current
APP-AIRDN-0689,Digital commerce mobile web contact center 064,Digital commerce mobile web contact center,Technology,SAP module,container/Kubernetes,Salesforce-style CRM,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-270,CONT-AIRDN-0690,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0690,Digital commerce mobile web contact center 065,Digital commerce mobile web contact center,Commercial,SaaS product,AWS workload,Java/.NET custom,pre-production,high,Digital Customer and Loyalty AMS,VEND-AIRDN-271,CONT-AIRDN-0691,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0691,Digital commerce mobile web contact center 066,Digital commerce mobile web contact center,Passenger Service,operationally critical airline product,Azure workload,container/Kubernetes,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-272,CONT-AIRDN-0692,RTO 0-4 hrs / RPO under 1 hr,interface evidence needed,current
APP-AIRDN-0692,Digital commerce mobile web contact center 067,Digital commerce mobile web contact center,Digital,low-use high-risk legacy,SaaS,API gateway/iPaaS,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-273,CONT-AIRDN-0693,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0693,Digital commerce mobile web contact center 068,Digital commerce mobile web contact center,Technology,strategic platform,container/Kubernetes,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-274,CONT-AIRDN-0694,RTO 4-12 hrs / RPO same day,source-backed candidate,current
APP-AIRDN-0694,Digital commerce mobile web contact center 069,Digital commerce mobile web contact center,Commercial,regional duplicate,AWS workload,container/Kubernetes,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-275,CONT-AIRDN-0695,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0695,Digital commerce mobile web contact center 070,Digital commerce mobile web contact center,Passenger Service,acquired-carrier inherited system,Azure workload,API gateway/iPaaS,DR,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-276,CONT-AIRDN-0696,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0696,Digital commerce mobile web contact center 071,Digital commerce mobile web contact center,Digital,end-of-life application,SaaS,Salesforce-style CRM,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-277,CONT-AIRDN-0697,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0697,Digital commerce mobile web contact center 072,Digital commerce mobile web contact center,Technology,shadow IT,container/Kubernetes,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-278,CONT-AIRDN-0698,RTO/RPO to confirm,owner attestation needed,retain with controls
APP-AIRDN-0698,Digital commerce mobile web contact center 073,Digital commerce mobile web contact center,Commercial,custom Java/.NET,AWS workload,container/Kubernetes,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-279,CONT-AIRDN-0699,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0699,Digital commerce mobile web contact center 074,Digital commerce mobile web contact center,Passenger Service,mainframe workload,Azure workload,API gateway/iPaaS,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-280,CONT-AIRDN-0700,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0700,Digital commerce mobile web contact center 075,Digital commerce mobile web contact center,Digital,SAP module,SaaS,Salesforce-style CRM,pre-production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-281,CONT-AIRDN-0701,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0701,Digital commerce mobile web contact center 076,Digital commerce mobile web contact center,Technology,SaaS product,container/Kubernetes,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-282,CONT-AIRDN-0702,RTO 4-12 hrs / RPO same day,source-backed candidate,current
APP-AIRDN-0702,Digital commerce mobile web contact center 077,Digital commerce mobile web contact center,Commercial,operationally critical airline product,AWS workload,container/Kubernetes,DR,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-283,CONT-AIRDN-0703,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0703,Digital commerce mobile web contact center 078,Digital commerce mobile web contact center,Passenger Service,low-use high-risk legacy,Azure workload,API gateway/iPaaS,production,high,Digital Customer and Loyalty AMS,VEND-AIRDN-284,CONT-AIRDN-0704,RTO 0-4 hrs / RPO under 1 hr,interface evidence needed,sunset candidate
APP-AIRDN-0704,Digital commerce mobile web contact center 079,Digital commerce mobile web contact center,Digital,strategic platform,SaaS,Salesforce-style CRM,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-285,CONT-AIRDN-0705,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0705,Digital commerce mobile web contact center 080,Digital commerce mobile web contact center,Technology,regional duplicate,container/Kubernetes,Java/.NET custom,pre-production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-286,CONT-AIRDN-0706,RTO 4-12 hrs / RPO same day,owner attestation needed,modernize
APP-AIRDN-0706,Digital commerce mobile web contact center 081,Digital commerce mobile web contact center,Commercial,acquired-carrier inherited system,AWS workload,container/Kubernetes,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-287,CONT-AIRDN-0707,RTO/RPO to confirm,source-backed candidate,current
APP-AIRDN-0707,Digital commerce mobile web contact center 082,Digital commerce mobile web contact center,Passenger Service,end-of-life application,Azure workload,API gateway/iPaaS,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-288,CONT-AIRDN-0708,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0708,Digital commerce mobile web contact center 083,Digital commerce mobile web contact center,Digital,shadow IT,SaaS,Salesforce-style CRM,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-289,CONT-AIRDN-0709,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0709,Digital commerce mobile web contact center 084,Digital commerce mobile web contact center,Technology,custom Java/.NET,container/Kubernetes,Java/.NET custom,DR,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-290,CONT-AIRDN-0710,RTO 4-12 hrs / RPO same day,interface evidence needed,current
APP-AIRDN-0710,Digital commerce mobile web contact center 085,Digital commerce mobile web contact center,Commercial,mainframe workload,AWS workload,API gateway/iPaaS,pre-production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-291,CONT-AIRDN-0711,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0711,Digital commerce mobile web contact center 086,Digital commerce mobile web contact center,Passenger Service,SAP module,Azure workload,Salesforce-style CRM,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-292,CONT-AIRDN-0712,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0712,Digital commerce mobile web contact center 087,Digital commerce mobile web contact center,Digital,SaaS product,SaaS,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-293,CONT-AIRDN-0713,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0713,Digital commerce mobile web contact center 088,Digital commerce mobile web contact center,Technology,operationally critical airline product,container/Kubernetes,container/Kubernetes,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-294,CONT-AIRDN-0714,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0714,Digital commerce mobile web contact center 089,Digital commerce mobile web contact center,Commercial,low-use high-risk legacy,AWS workload,API gateway/iPaaS,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-295,CONT-AIRDN-0715,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0715,Digital commerce mobile web contact center 090,Digital commerce mobile web contact center,Passenger Service,strategic platform,Azure workload,Salesforce-style CRM,pre-production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-296,CONT-AIRDN-0716,RTO/RPO to confirm,interface evidence needed,modernize
APP-AIRDN-0716,Digital commerce mobile web contact center 091,Digital commerce mobile web contact center,Digital,regional duplicate,SaaS,Java/.NET custom,DR,high,Digital Customer and Loyalty AMS,VEND-AIRDN-297,CONT-AIRDN-0717,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,sunset candidate
APP-AIRDN-0717,Digital commerce mobile web contact center 092,Digital commerce mobile web contact center,Technology,acquired-carrier inherited system,container/Kubernetes,container/Kubernetes,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-298,CONT-AIRDN-0718,RTO 4-12 hrs / RPO same day,source-backed candidate,current
APP-AIRDN-0718,Digital commerce mobile web contact center 093,Digital commerce mobile web contact center,Commercial,end-of-life application,AWS workload,API gateway/iPaaS,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-299,CONT-AIRDN-0719,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0719,Digital commerce mobile web contact center 094,Digital commerce mobile web contact center,Passenger Service,shadow IT,Azure workload,Salesforce-style CRM,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-300,CONT-AIRDN-0720,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0720,Digital commerce mobile web contact center 095,Digital commerce mobile web contact center,Digital,custom Java/.NET,SaaS,Java/.NET custom,pre-production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-301,CONT-AIRDN-0721,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,modernize
APP-AIRDN-0721,Digital commerce mobile web contact center 096,Digital commerce mobile web contact center,Technology,mainframe workload,container/Kubernetes,container/Kubernetes,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-302,CONT-AIRDN-0722,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
APP-AIRDN-0722,Digital commerce mobile web contact center 097,Digital commerce mobile web contact center,Commercial,SAP module,AWS workload,API gateway/iPaaS,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-303,CONT-AIRDN-0723,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0723,Digital commerce mobile web contact center 098,Digital commerce mobile web contact center,Passenger Service,SaaS product,Azure workload,Salesforce-style CRM,DR,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-304,CONT-AIRDN-0724,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0724,Digital commerce mobile web contact center 099,Digital commerce mobile web contact center,Digital,operationally critical airline product,SaaS,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-305,CONT-AIRDN-0725,RTO/RPO to confirm,source-backed candidate,current
APP-AIRDN-0725,Digital commerce mobile web contact center 100,Digital commerce mobile web contact center,Technology,low-use high-risk legacy,container/Kubernetes,container/Kubernetes,pre-production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-306,CONT-AIRDN-0726,RTO 4-12 hrs / RPO same day,source-backed candidate,modernize
APP-AIRDN-0726,Digital commerce mobile web contact center 101,Digital commerce mobile web contact center,Commercial,strategic platform,AWS workload,API gateway/iPaaS,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-307,CONT-AIRDN-0727,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0727,Digital commerce mobile web contact center 102,Digital commerce mobile web contact center,Passenger Service,regional duplicate,Azure workload,Java/.NET custom,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-308,CONT-AIRDN-0728,RTO 0-4 hrs / RPO under 1 hr,interface evidence needed,current
APP-AIRDN-0728,Digital commerce mobile web contact center 103,Digital commerce mobile web contact center,Digital,acquired-carrier inherited system,SaaS,container/Kubernetes,production,critical,Digital Customer and Loyalty AMS,VEND-AIRDN-309,CONT-AIRDN-0729,RTO 0-4 hrs / RPO under 1 hr,source-backed candidate,current
APP-AIRDN-0729,Digital commerce mobile web contact center 104,Digital commerce mobile web contact center,Technology,end-of-life application,container/Kubernetes,API gateway/iPaaS,production,high,Digital Customer and Loyalty AMS,VEND-AIRDN-310,CONT-AIRDN-0730,RTO 4-12 hrs / RPO same day,owner attestation needed,retain with controls
