integration_id,from_application_id,to_application_id,integration_method,frequency,criticality,middleware_pattern,owning_function,source_id
INT-AIRDN-03477,APP-AIRDN-0420,APP-AIRDN-0816,ETL/ELT,event-driven,high,API gateway,Cybersecurity,SRC-AIRDN-INT-022
INT-AIRDN-03478,APP-AIRDN-0427,APP-AIRDN-0833,mainframe transaction,nightly batch,standard,event streaming backbone,Workplace,SRC-AIRDN-INT-023
INT-AIRDN-03479,APP-AIRDN-0434,APP-AIRDN-0850,streaming topic,real-time,standard,enterprise service bus,Service Management,SRC-AIRDN-INT-024
INT-AIRDN-03480,APP-AIRDN-0441,APP-AIRDN-0867,SaaS connector,near real-time,critical,mainframe MQ,Flight Operations,SRC-AIRDN-INT-025
INT-AIRDN-03481,APP-AIRDN-0448,APP-AIRDN-0884,EDI/message,hourly,standard,cloud integration platform,Operations Control,SRC-AIRDN-INT-026
INT-AIRDN-03482,APP-AIRDN-0455,APP-AIRDN-0901,database link,daily,standard,file transfer gateway,Crew Operations,SRC-AIRDN-INT-027
INT-AIRDN-03483,APP-AIRDN-0462,APP-AIRDN-0918,MQ/event,weekly,high,data pipeline orchestrator,Technical Operations,SRC-AIRDN-INT-028
INT-AIRDN-03484,APP-AIRDN-0469,APP-AIRDN-0935,API,event-driven,standard,API gateway,Airport Operations,SRC-AIRDN-INT-029
INT-AIRDN-03485,APP-AIRDN-0476,APP-AIRDN-0952,file/batch,nightly batch,standard,event streaming backbone,Passenger Service,SRC-AIRDN-INT-030
INT-AIRDN-03486,APP-AIRDN-0483,APP-AIRDN-0969,ETL/ELT,real-time,high,enterprise service bus,Commercial,SRC-AIRDN-INT-031
INT-AIRDN-03487,APP-AIRDN-0490,APP-AIRDN-0986,mainframe transaction,near real-time,standard,mainframe MQ,Cargo,SRC-AIRDN-INT-032
INT-AIRDN-03488,APP-AIRDN-0497,APP-AIRDN-1003,streaming topic,hourly,critical,cloud integration platform,Corporate Finance,SRC-AIRDN-INT-033
INT-AIRDN-03489,APP-AIRDN-0504,APP-AIRDN-1020,SaaS connector,daily,high,file transfer gateway,Procurement,SRC-AIRDN-INT-034
INT-AIRDN-03490,APP-AIRDN-0511,APP-AIRDN-1037,EDI/message,weekly,standard,data pipeline orchestrator,Technology,SRC-AIRDN-INT-035
INT-AIRDN-03491,APP-AIRDN-0518,APP-AIRDN-1054,database link,event-driven,standard,API gateway,Data and AI,SRC-AIRDN-INT-036
INT-AIRDN-03492,APP-AIRDN-0525,APP-AIRDN-1071,MQ/event,nightly batch,high,event streaming backbone,Cybersecurity,SRC-AIRDN-INT-037
INT-AIRDN-03493,APP-AIRDN-0532,APP-AIRDN-1088,API,real-time,standard,enterprise service bus,Workplace,SRC-AIRDN-INT-038
INT-AIRDN-03494,APP-AIRDN-0539,APP-AIRDN-1105,file/batch,near real-time,standard,mainframe MQ,Service Management,SRC-AIRDN-INT-039
INT-AIRDN-03495,APP-AIRDN-0546,APP-AIRDN-1122,ETL/ELT,hourly,high,cloud integration platform,Flight Operations,SRC-AIRDN-INT-040
INT-AIRDN-03496,APP-AIRDN-0553,APP-AIRDN-1139,mainframe transaction,daily,critical,file transfer gateway,Operations Control,SRC-AIRDN-INT-041
INT-AIRDN-03497,APP-AIRDN-0560,APP-AIRDN-1156,streaming topic,weekly,standard,data pipeline orchestrator,Crew Operations,SRC-AIRDN-INT-042
INT-AIRDN-03498,APP-AIRDN-0567,APP-AIRDN-1173,SaaS connector,event-driven,high,API gateway,Technical Operations,SRC-AIRDN-INT-043
INT-AIRDN-03499,APP-AIRDN-0574,APP-AIRDN-1190,EDI/message,nightly batch,standard,event streaming backbone,Airport Operations,SRC-AIRDN-INT-044
INT-AIRDN-03500,APP-AIRDN-0581,APP-AIRDN-1207,database link,real-time,standard,enterprise service bus,Passenger Service,SRC-AIRDN-INT-045
INT-AIRDN-03501,APP-AIRDN-0588,APP-AIRDN-1224,MQ/event,near real-time,high,mainframe MQ,Commercial,SRC-AIRDN-INT-046
INT-AIRDN-03502,APP-AIRDN-0595,APP-AIRDN-1241,API,hourly,standard,cloud integration platform,Cargo,SRC-AIRDN-INT-047
INT-AIRDN-03503,APP-AIRDN-0602,APP-AIRDN-1258,file/batch,daily,standard,file transfer gateway,Corporate Finance,SRC-AIRDN-INT-048
INT-AIRDN-03504,APP-AIRDN-0609,APP-AIRDN-1275,ETL/ELT,weekly,critical,data pipeline orchestrator,Procurement,SRC-AIRDN-INT-049
INT-AIRDN-03505,APP-AIRDN-0616,APP-AIRDN-1292,mainframe transaction,event-driven,standard,API gateway,Technology,SRC-AIRDN-INT-050
INT-AIRDN-03506,APP-AIRDN-0623,APP-AIRDN-1309,streaming topic,nightly batch,standard,event streaming backbone,Data and AI,SRC-AIRDN-INT-051
INT-AIRDN-03507,APP-AIRDN-0630,APP-AIRDN-1326,SaaS connector,real-time,high,enterprise service bus,Cybersecurity,SRC-AIRDN-INT-052
INT-AIRDN-03508,APP-AIRDN-0637,APP-AIRDN-1343,EDI/message,near real-time,standard,mainframe MQ,Workplace,SRC-AIRDN-INT-053
INT-AIRDN-03509,APP-AIRDN-0644,APP-AIRDN-1360,database link,hourly,standard,cloud integration platform,Service Management,SRC-AIRDN-INT-054
INT-AIRDN-03510,APP-AIRDN-0651,APP-AIRDN-1377,MQ/event,daily,high,file transfer gateway,Flight Operations,SRC-AIRDN-INT-001
INT-AIRDN-03511,APP-AIRDN-0658,APP-AIRDN-1394,API,weekly,standard,data pipeline orchestrator,Operations Control,SRC-AIRDN-INT-002
INT-AIRDN-03512,APP-AIRDN-0665,APP-AIRDN-1411,file/batch,event-driven,critical,API gateway,Crew Operations,SRC-AIRDN-INT-003
INT-AIRDN-03513,APP-AIRDN-0672,APP-AIRDN-1428,ETL/ELT,nightly batch,high,event streaming backbone,Technical Operations,SRC-AIRDN-INT-004
INT-AIRDN-03514,APP-AIRDN-0679,APP-AIRDN-1445,mainframe transaction,real-time,standard,enterprise service bus,Airport Operations,SRC-AIRDN-INT-005
INT-AIRDN-03515,APP-AIRDN-0686,APP-AIRDN-1462,streaming topic,near real-time,standard,mainframe MQ,Passenger Service,SRC-AIRDN-INT-006
INT-AIRDN-03516,APP-AIRDN-0693,APP-AIRDN-1479,SaaS connector,hourly,high,cloud integration platform,Commercial,SRC-AIRDN-INT-007
INT-AIRDN-03517,APP-AIRDN-0700,APP-AIRDN-0001,EDI/message,daily,standard,file transfer gateway,Cargo,SRC-AIRDN-INT-008
INT-AIRDN-03518,APP-AIRDN-0707,APP-AIRDN-0018,database link,weekly,standard,data pipeline orchestrator,Corporate Finance,SRC-AIRDN-INT-009
INT-AIRDN-03519,APP-AIRDN-0714,APP-AIRDN-0035,MQ/event,event-driven,high,API gateway,Procurement,SRC-AIRDN-INT-010
INT-AIRDN-03520,APP-AIRDN-0721,APP-AIRDN-0052,API,nightly batch,critical,event streaming backbone,Technology,SRC-AIRDN-INT-011
INT-AIRDN-03521,APP-AIRDN-0728,APP-AIRDN-0069,file/batch,real-time,standard,enterprise service bus,Data and AI,SRC-AIRDN-INT-012
INT-AIRDN-03522,APP-AIRDN-0735,APP-AIRDN-0086,ETL/ELT,near real-time,high,mainframe MQ,Cybersecurity,SRC-AIRDN-INT-013
INT-AIRDN-03523,APP-AIRDN-0742,APP-AIRDN-0103,mainframe transaction,hourly,standard,cloud integration platform,Workplace,SRC-AIRDN-INT-014
INT-AIRDN-03524,APP-AIRDN-0749,APP-AIRDN-0120,streaming topic,daily,standard,file transfer gateway,Service Management,SRC-AIRDN-INT-015
INT-AIRDN-03525,APP-AIRDN-0756,APP-AIRDN-0137,SaaS connector,weekly,high,data pipeline orchestrator,Flight Operations,SRC-AIRDN-INT-016
INT-AIRDN-03526,APP-AIRDN-0763,APP-AIRDN-0154,EDI/message,event-driven,standard,API gateway,Operations Control,SRC-AIRDN-INT-017
INT-AIRDN-03527,APP-AIRDN-0770,APP-AIRDN-0171,database link,nightly batch,standard,event streaming backbone,Crew Operations,SRC-AIRDN-INT-018
INT-AIRDN-03528,APP-AIRDN-0777,APP-AIRDN-0188,MQ/event,real-time,critical,enterprise service bus,Technical Operations,SRC-AIRDN-INT-019
INT-AIRDN-03529,APP-AIRDN-0784,APP-AIRDN-0205,API,near real-time,standard,mainframe MQ,Airport Operations,SRC-AIRDN-INT-020
INT-AIRDN-03530,APP-AIRDN-0791,APP-AIRDN-0222,file/batch,hourly,standard,cloud integration platform,Passenger Service,SRC-AIRDN-INT-021
INT-AIRDN-03531,APP-AIRDN-0798,APP-AIRDN-0239,ETL/ELT,daily,high,file transfer gateway,Commercial,SRC-AIRDN-INT-022
INT-AIRDN-03532,APP-AIRDN-0805,APP-AIRDN-0256,mainframe transaction,weekly,standard,data pipeline orchestrator,Cargo,SRC-AIRDN-INT-023
INT-AIRDN-03533,APP-AIRDN-0812,APP-AIRDN-0273,streaming topic,event-driven,standard,API gateway,Corporate Finance,SRC-AIRDN-INT-024
INT-AIRDN-03534,APP-AIRDN-0819,APP-AIRDN-0290,SaaS connector,nightly batch,high,event streaming backbone,Procurement,SRC-AIRDN-INT-025
INT-AIRDN-03535,APP-AIRDN-0826,APP-AIRDN-0307,EDI/message,real-time,standard,enterprise service bus,Technology,SRC-AIRDN-INT-026
INT-AIRDN-03536,APP-AIRDN-0833,APP-AIRDN-0324,database link,near real-time,critical,mainframe MQ,Data and AI,SRC-AIRDN-INT-027
INT-AIRDN-03537,APP-AIRDN-0840,APP-AIRDN-0341,MQ/event,hourly,high,cloud integration platform,Cybersecurity,SRC-AIRDN-INT-028
INT-AIRDN-03538,APP-AIRDN-0847,APP-AIRDN-0358,API,daily,standard,file transfer gateway,Workplace,SRC-AIRDN-INT-029
INT-AIRDN-03539,APP-AIRDN-0854,APP-AIRDN-0375,file/batch,weekly,standard,data pipeline orchestrator,Service Management,SRC-AIRDN-INT-030
INT-AIRDN-03540,APP-AIRDN-0861,APP-AIRDN-0392,ETL/ELT,event-driven,high,API gateway,Flight Operations,SRC-AIRDN-INT-031
INT-AIRDN-03541,APP-AIRDN-0868,APP-AIRDN-0409,mainframe transaction,nightly batch,standard,event streaming backbone,Operations Control,SRC-AIRDN-INT-032
INT-AIRDN-03542,APP-AIRDN-0875,APP-AIRDN-0426,streaming topic,real-time,standard,enterprise service bus,Crew Operations,SRC-AIRDN-INT-033
INT-AIRDN-03543,APP-AIRDN-0882,APP-AIRDN-0443,SaaS connector,near real-time,high,mainframe MQ,Technical Operations,SRC-AIRDN-INT-034
INT-AIRDN-03544,APP-AIRDN-0889,APP-AIRDN-0460,EDI/message,hourly,critical,cloud integration platform,Airport Operations,SRC-AIRDN-INT-035
INT-AIRDN-03545,APP-AIRDN-0896,APP-AIRDN-0477,database link,daily,standard,file transfer gateway,Passenger Service,SRC-AIRDN-INT-036
INT-AIRDN-03546,APP-AIRDN-0903,APP-AIRDN-0494,MQ/event,weekly,high,data pipeline orchestrator,Commercial,SRC-AIRDN-INT-037
INT-AIRDN-03547,APP-AIRDN-0910,APP-AIRDN-0511,API,event-driven,standard,API gateway,Cargo,SRC-AIRDN-INT-038
INT-AIRDN-03548,APP-AIRDN-0917,APP-AIRDN-0528,file/batch,nightly batch,standard,event streaming backbone,Corporate Finance,SRC-AIRDN-INT-039
INT-AIRDN-03549,APP-AIRDN-0924,APP-AIRDN-0545,ETL/ELT,real-time,high,enterprise service bus,Procurement,SRC-AIRDN-INT-040
INT-AIRDN-03550,APP-AIRDN-0931,APP-AIRDN-0562,mainframe transaction,near real-time,standard,mainframe MQ,Technology,SRC-AIRDN-INT-041
INT-AIRDN-03551,APP-AIRDN-0938,APP-AIRDN-0579,streaming topic,hourly,standard,cloud integration platform,Data and AI,SRC-AIRDN-INT-042
INT-AIRDN-03552,APP-AIRDN-0945,APP-AIRDN-0596,SaaS connector,daily,critical,file transfer gateway,Cybersecurity,SRC-AIRDN-INT-043
INT-AIRDN-03553,APP-AIRDN-0952,APP-AIRDN-0613,EDI/message,weekly,standard,data pipeline orchestrator,Workplace,SRC-AIRDN-INT-044
INT-AIRDN-03554,APP-AIRDN-0959,APP-AIRDN-0630,database link,event-driven,standard,API gateway,Service Management,SRC-AIRDN-INT-045
INT-AIRDN-03555,APP-AIRDN-0966,APP-AIRDN-0647,MQ/event,nightly batch,high,event streaming backbone,Flight Operations,SRC-AIRDN-INT-046
INT-AIRDN-03556,APP-AIRDN-0973,APP-AIRDN-0664,API,real-time,standard,enterprise service bus,Operations Control,SRC-AIRDN-INT-047
INT-AIRDN-03557,APP-AIRDN-0980,APP-AIRDN-0681,file/batch,near real-time,standard,mainframe MQ,Crew Operations,SRC-AIRDN-INT-048
INT-AIRDN-03558,APP-AIRDN-0987,APP-AIRDN-0698,ETL/ELT,hourly,high,cloud integration platform,Technical Operations,SRC-AIRDN-INT-049
INT-AIRDN-03559,APP-AIRDN-0994,APP-AIRDN-0715,mainframe transaction,daily,standard,file transfer gateway,Airport Operations,SRC-AIRDN-INT-050
INT-AIRDN-03560,APP-AIRDN-1001,APP-AIRDN-0732,streaming topic,weekly,critical,data pipeline orchestrator,Passenger Service,SRC-AIRDN-INT-051
INT-AIRDN-03561,APP-AIRDN-1008,APP-AIRDN-0749,SaaS connector,event-driven,high,API gateway,Commercial,SRC-AIRDN-INT-052
INT-AIRDN-03562,APP-AIRDN-1015,APP-AIRDN-0766,EDI/message,nightly batch,standard,event streaming backbone,Cargo,SRC-AIRDN-INT-053
INT-AIRDN-03563,APP-AIRDN-1022,APP-AIRDN-0783,database link,real-time,standard,enterprise service bus,Corporate Finance,SRC-AIRDN-INT-054
INT-AIRDN-03564,APP-AIRDN-1029,APP-AIRDN-0800,MQ/event,near real-time,high,mainframe MQ,Procurement,SRC-AIRDN-INT-001
INT-AIRDN-03565,APP-AIRDN-1036,APP-AIRDN-0817,API,hourly,standard,cloud integration platform,Technology,SRC-AIRDN-INT-002
INT-AIRDN-03566,APP-AIRDN-1043,APP-AIRDN-0834,file/batch,daily,standard,file transfer gateway,Data and AI,SRC-AIRDN-INT-003
INT-AIRDN-03567,APP-AIRDN-1050,APP-AIRDN-0851,ETL/ELT,weekly,high,data pipeline orchestrator,Cybersecurity,SRC-AIRDN-INT-004
INT-AIRDN-03568,APP-AIRDN-1057,APP-AIRDN-0868,mainframe transaction,event-driven,critical,API gateway,Workplace,SRC-AIRDN-INT-005
INT-AIRDN-03569,APP-AIRDN-1064,APP-AIRDN-0885,streaming topic,nightly batch,standard,event streaming backbone,Service Management,SRC-AIRDN-INT-006
INT-AIRDN-03570,APP-AIRDN-1071,APP-AIRDN-0902,SaaS connector,real-time,high,enterprise service bus,Flight Operations,SRC-AIRDN-INT-007
INT-AIRDN-03571,APP-AIRDN-1078,APP-AIRDN-0919,EDI/message,near real-time,standard,mainframe MQ,Operations Control,SRC-AIRDN-INT-008
INT-AIRDN-03572,APP-AIRDN-1085,APP-AIRDN-0936,database link,hourly,standard,cloud integration platform,Crew Operations,SRC-AIRDN-INT-009
INT-AIRDN-03573,APP-AIRDN-1092,APP-AIRDN-0953,MQ/event,daily,high,file transfer gateway,Technical Operations,SRC-AIRDN-INT-010
INT-AIRDN-03574,APP-AIRDN-1099,APP-AIRDN-0970,API,weekly,standard,data pipeline orchestrator,Airport Operations,SRC-AIRDN-INT-011
INT-AIRDN-03575,APP-AIRDN-1106,APP-AIRDN-0987,file/batch,event-driven,standard,API gateway,Passenger Service,SRC-AIRDN-INT-012
INT-AIRDN-03576,APP-AIRDN-1113,APP-AIRDN-1004,ETL/ELT,nightly batch,critical,event streaming backbone,Commercial,SRC-AIRDN-INT-013
INT-AIRDN-03577,APP-AIRDN-1120,APP-AIRDN-1021,mainframe transaction,real-time,standard,enterprise service bus,Cargo,SRC-AIRDN-INT-014
INT-AIRDN-03578,APP-AIRDN-1127,APP-AIRDN-1038,streaming topic,near real-time,standard,mainframe MQ,Corporate Finance,SRC-AIRDN-INT-015
INT-AIRDN-03579,APP-AIRDN-1134,APP-AIRDN-1055,SaaS connector,hourly,high,cloud integration platform,Procurement,SRC-AIRDN-INT-016
INT-AIRDN-03580,APP-AIRDN-1141,APP-AIRDN-1072,EDI/message,daily,standard,file transfer gateway,Technology,SRC-AIRDN-INT-017
INT-AIRDN-03581,APP-AIRDN-1148,APP-AIRDN-1089,database link,weekly,standard,data pipeline orchestrator,Data and AI,SRC-AIRDN-INT-018
INT-AIRDN-03582,APP-AIRDN-1155,APP-AIRDN-1106,MQ/event,event-driven,high,API gateway,Cybersecurity,SRC-AIRDN-INT-019
INT-AIRDN-03583,APP-AIRDN-1162,APP-AIRDN-1123,API,nightly batch,standard,event streaming backbone,Workplace,SRC-AIRDN-INT-020
INT-AIRDN-03584,APP-AIRDN-1169,APP-AIRDN-1140,file/batch,real-time,critical,enterprise service bus,Service Management,SRC-AIRDN-INT-021
INT-AIRDN-03585,APP-AIRDN-1176,APP-AIRDN-1157,ETL/ELT,near real-time,high,mainframe MQ,Flight Operations,SRC-AIRDN-INT-022
INT-AIRDN-03586,APP-AIRDN-1183,APP-AIRDN-1174,mainframe transaction,hourly,standard,cloud integration platform,Operations Control,SRC-AIRDN-INT-023
INT-AIRDN-03587,APP-AIRDN-1190,APP-AIRDN-1191,streaming topic,daily,standard,file transfer gateway,Crew Operations,SRC-AIRDN-INT-024
INT-AIRDN-03588,APP-AIRDN-1197,APP-AIRDN-1208,SaaS connector,weekly,high,data pipeline orchestrator,Technical Operations,SRC-AIRDN-INT-025
INT-AIRDN-03589,APP-AIRDN-1204,APP-AIRDN-1225,EDI/message,event-driven,standard,API gateway,Airport Operations,SRC-AIRDN-INT-026
INT-AIRDN-03590,APP-AIRDN-1211,APP-AIRDN-1242,database link,nightly batch,standard,event streaming backbone,Passenger Service,SRC-AIRDN-INT-027
INT-AIRDN-03591,APP-AIRDN-1218,APP-AIRDN-1259,MQ/event,real-time,high,enterprise service bus,Commercial,SRC-AIRDN-INT-028
INT-AIRDN-03592,APP-AIRDN-1225,APP-AIRDN-1276,API,near real-time,critical,mainframe MQ,Cargo,SRC-AIRDN-INT-029
INT-AIRDN-03593,APP-AIRDN-1232,APP-AIRDN-1293,file/batch,hourly,standard,cloud integration platform,Corporate Finance,SRC-AIRDN-INT-030
INT-AIRDN-03594,APP-AIRDN-1239,APP-AIRDN-1310,ETL/ELT,daily,high,file transfer gateway,Procurement,SRC-AIRDN-INT-031
INT-AIRDN-03595,APP-AIRDN-1246,APP-AIRDN-1327,mainframe transaction,weekly,standard,data pipeline orchestrator,Technology,SRC-AIRDN-INT-032
INT-AIRDN-03596,APP-AIRDN-1253,APP-AIRDN-1344,streaming topic,event-driven,standard,API gateway,Data and AI,SRC-AIRDN-INT-033
INT-AIRDN-03597,APP-AIRDN-1260,APP-AIRDN-1361,SaaS connector,nightly batch,high,event streaming backbone,Cybersecurity,SRC-AIRDN-INT-034
INT-AIRDN-03598,APP-AIRDN-1267,APP-AIRDN-1378,EDI/message,real-time,standard,enterprise service bus,Workplace,SRC-AIRDN-INT-035
INT-AIRDN-03599,APP-AIRDN-1274,APP-AIRDN-1395,database link,near real-time,standard,mainframe MQ,Service Management,SRC-AIRDN-INT-036
INT-AIRDN-03600,APP-AIRDN-1281,APP-AIRDN-1412,MQ/event,hourly,critical,cloud integration platform,Flight Operations,SRC-AIRDN-INT-037
INT-AIRDN-03601,APP-AIRDN-1288,APP-AIRDN-1429,API,daily,standard,file transfer gateway,Operations Control,SRC-AIRDN-INT-038
INT-AIRDN-03602,APP-AIRDN-1295,APP-AIRDN-1446,file/batch,weekly,standard,data pipeline orchestrator,Crew Operations,SRC-AIRDN-INT-039
INT-AIRDN-03603,APP-AIRDN-1302,APP-AIRDN-1463,ETL/ELT,event-driven,high,API gateway,Technical Operations,SRC-AIRDN-INT-040
INT-AIRDN-03604,APP-AIRDN-1309,APP-AIRDN-1480,mainframe transaction,nightly batch,standard,event streaming backbone,Airport Operations,SRC-AIRDN-INT-041
INT-AIRDN-03605,APP-AIRDN-1316,APP-AIRDN-0002,streaming topic,real-time,standard,enterprise service bus,Passenger Service,SRC-AIRDN-INT-042
INT-AIRDN-03606,APP-AIRDN-1323,APP-AIRDN-0019,SaaS connector,near real-time,high,mainframe MQ,Commercial,SRC-AIRDN-INT-043
INT-AIRDN-03607,APP-AIRDN-1330,APP-AIRDN-0036,EDI/message,hourly,standard,cloud integration platform,Cargo,SRC-AIRDN-INT-044
INT-AIRDN-03608,APP-AIRDN-1337,APP-AIRDN-0053,database link,daily,critical,file transfer gateway,Corporate Finance,SRC-AIRDN-INT-045
INT-AIRDN-03609,APP-AIRDN-1344,APP-AIRDN-0070,MQ/event,weekly,high,data pipeline orchestrator,Procurement,SRC-AIRDN-INT-046
INT-AIRDN-03610,APP-AIRDN-1351,APP-AIRDN-0087,API,event-driven,standard,API gateway,Technology,SRC-AIRDN-INT-047
INT-AIRDN-03611,APP-AIRDN-1358,APP-AIRDN-0104,file/batch,nightly batch,standard,event streaming backbone,Data and AI,SRC-AIRDN-INT-048
INT-AIRDN-03612,APP-AIRDN-1365,APP-AIRDN-0121,ETL/ELT,real-time,high,enterprise service bus,Cybersecurity,SRC-AIRDN-INT-049
INT-AIRDN-03613,APP-AIRDN-1372,APP-AIRDN-0138,mainframe transaction,near real-time,standard,mainframe MQ,Workplace,SRC-AIRDN-INT-050
INT-AIRDN-03614,APP-AIRDN-1379,APP-AIRDN-0155,streaming topic,hourly,standard,cloud integration platform,Service Management,SRC-AIRDN-INT-051
INT-AIRDN-03615,APP-AIRDN-1386,APP-AIRDN-0172,SaaS connector,daily,high,file transfer gateway,Flight Operations,SRC-AIRDN-INT-052
INT-AIRDN-03616,APP-AIRDN-1393,APP-AIRDN-0189,EDI/message,weekly,critical,data pipeline orchestrator,Operations Control,SRC-AIRDN-INT-053
INT-AIRDN-03617,APP-AIRDN-1400,APP-AIRDN-0206,database link,event-driven,standard,API gateway,Crew Operations,SRC-AIRDN-INT-054
INT-AIRDN-03618,APP-AIRDN-1407,APP-AIRDN-0223,MQ/event,nightly batch,high,event streaming backbone,Technical Operations,SRC-AIRDN-INT-001
INT-AIRDN-03619,APP-AIRDN-1414,APP-AIRDN-0240,API,real-time,standard,enterprise service bus,Airport Operations,SRC-AIRDN-INT-002
INT-AIRDN-03620,APP-AIRDN-1421,APP-AIRDN-0257,file/batch,near real-time,standard,mainframe MQ,Passenger Service,SRC-AIRDN-INT-003
INT-AIRDN-03621,APP-AIRDN-1428,APP-AIRDN-0274,ETL/ELT,hourly,high,cloud integration platform,Commercial,SRC-AIRDN-INT-004
INT-AIRDN-03622,APP-AIRDN-1435,APP-AIRDN-0291,mainframe transaction,daily,standard,file transfer gateway,Cargo,SRC-AIRDN-INT-005
INT-AIRDN-03623,APP-AIRDN-1442,APP-AIRDN-0308,streaming topic,weekly,standard,data pipeline orchestrator,Corporate Finance,SRC-AIRDN-INT-006
INT-AIRDN-03624,APP-AIRDN-1449,APP-AIRDN-0325,SaaS connector,event-driven,critical,API gateway,Procurement,SRC-AIRDN-INT-007
INT-AIRDN-03625,APP-AIRDN-1456,APP-AIRDN-0342,EDI/message,nightly batch,standard,event streaming backbone,Technology,SRC-AIRDN-INT-008
INT-AIRDN-03626,APP-AIRDN-1463,APP-AIRDN-0359,database link,real-time,standard,enterprise service bus,Data and AI,SRC-AIRDN-INT-009
INT-AIRDN-03627,APP-AIRDN-1470,APP-AIRDN-0376,MQ/event,near real-time,high,mainframe MQ,Cybersecurity,SRC-AIRDN-INT-010
INT-AIRDN-03628,APP-AIRDN-1477,APP-AIRDN-0393,API,hourly,standard,cloud integration platform,Workplace,SRC-AIRDN-INT-011
INT-AIRDN-03629,APP-AIRDN-1484,APP-AIRDN-0410,file/batch,daily,standard,file transfer gateway,Service Management,SRC-AIRDN-INT-012
INT-AIRDN-03630,APP-AIRDN-1491,APP-AIRDN-0427,ETL/ELT,weekly,high,data pipeline orchestrator,Flight Operations,SRC-AIRDN-INT-013
INT-AIRDN-03631,APP-AIRDN-0003,APP-AIRDN-0444,mainframe transaction,event-driven,standard,API gateway,Operations Control,SRC-AIRDN-INT-014
INT-AIRDN-03632,APP-AIRDN-0010,APP-AIRDN-0461,streaming topic,nightly batch,critical,event streaming backbone,Crew Operations,SRC-AIRDN-INT-015
INT-AIRDN-03633,APP-AIRDN-0017,APP-AIRDN-0478,SaaS connector,real-time,high,enterprise service bus,Technical Operations,SRC-AIRDN-INT-016
INT-AIRDN-03634,APP-AIRDN-0024,APP-AIRDN-0495,EDI/message,near real-time,standard,mainframe MQ,Airport Operations,SRC-AIRDN-INT-017
INT-AIRDN-03635,APP-AIRDN-0031,APP-AIRDN-0512,database link,hourly,standard,cloud integration platform,Passenger Service,SRC-AIRDN-INT-018
INT-AIRDN-03636,APP-AIRDN-0038,APP-AIRDN-0529,MQ/event,daily,high,file transfer gateway,Commercial,SRC-AIRDN-INT-019
INT-AIRDN-03637,APP-AIRDN-0045,APP-AIRDN-0546,API,weekly,standard,data pipeline orchestrator,Cargo,SRC-AIRDN-INT-020
INT-AIRDN-03638,APP-AIRDN-0052,APP-AIRDN-0563,file/batch,event-driven,standard,API gateway,Corporate Finance,SRC-AIRDN-INT-021
INT-AIRDN-03639,APP-AIRDN-0059,APP-AIRDN-0580,ETL/ELT,nightly batch,high,event streaming backbone,Procurement,SRC-AIRDN-INT-022
INT-AIRDN-03640,APP-AIRDN-0066,APP-AIRDN-0597,mainframe transaction,real-time,critical,enterprise service bus,Technology,SRC-AIRDN-INT-023
INT-AIRDN-03641,APP-AIRDN-0073,APP-AIRDN-0614,streaming topic,near real-time,standard,mainframe MQ,Data and AI,SRC-AIRDN-INT-024
INT-AIRDN-03642,APP-AIRDN-0080,APP-AIRDN-0631,SaaS connector,hourly,high,cloud integration platform,Cybersecurity,SRC-AIRDN-INT-025
INT-AIRDN-03643,APP-AIRDN-0087,APP-AIRDN-0648,EDI/message,daily,standard,file transfer gateway,Workplace,SRC-AIRDN-INT-026
INT-AIRDN-03644,APP-AIRDN-0094,APP-AIRDN-0665,database link,weekly,standard,data pipeline orchestrator,Service Management,SRC-AIRDN-INT-027
INT-AIRDN-03645,APP-AIRDN-0101,APP-AIRDN-0682,MQ/event,event-driven,high,API gateway,Flight Operations,SRC-AIRDN-INT-028
INT-AIRDN-03646,APP-AIRDN-0108,APP-AIRDN-0699,API,nightly batch,standard,event streaming backbone,Operations Control,SRC-AIRDN-INT-029
INT-AIRDN-03647,APP-AIRDN-0115,APP-AIRDN-0716,file/batch,real-time,standard,enterprise service bus,Crew Operations,SRC-AIRDN-INT-030
INT-AIRDN-03648,APP-AIRDN-0122,APP-AIRDN-0733,ETL/ELT,near real-time,critical,mainframe MQ,Technical Operations,SRC-AIRDN-INT-031
INT-AIRDN-03649,APP-AIRDN-0129,APP-AIRDN-0750,mainframe transaction,hourly,standard,cloud integration platform,Airport Operations,SRC-AIRDN-INT-032
INT-AIRDN-03650,APP-AIRDN-0136,APP-AIRDN-0767,streaming topic,daily,standard,file transfer gateway,Passenger Service,SRC-AIRDN-INT-033
INT-AIRDN-03651,APP-AIRDN-0143,APP-AIRDN-0784,SaaS connector,weekly,high,data pipeline orchestrator,Commercial,SRC-AIRDN-INT-034
INT-AIRDN-03652,APP-AIRDN-0150,APP-AIRDN-0801,EDI/message,event-driven,standard,API gateway,Cargo,SRC-AIRDN-INT-035
INT-AIRDN-03653,APP-AIRDN-0157,APP-AIRDN-0818,database link,nightly batch,standard,event streaming backbone,Corporate Finance,SRC-AIRDN-INT-036
INT-AIRDN-03654,APP-AIRDN-0164,APP-AIRDN-0835,MQ/event,real-time,high,enterprise service bus,Procurement,SRC-AIRDN-INT-037
INT-AIRDN-03655,APP-AIRDN-0171,APP-AIRDN-0852,API,near real-time,standard,mainframe MQ,Technology,SRC-AIRDN-INT-038
