contract_id,vendor_id,vendor_public_reference,contract_type,service_tower,business_function,scope,term_status,commercial_model,value_disclosure_mode,risk_note,source_id,effective_date,expiration_date,renewal_date,termination_rights,pricing_model,minimum_commitment,rate_card_id,service_credit_terms,inflation_provision,change_control_terms,subcontracting_terms,data_residency,transition_assistance,sla_history_source,invoice_source,change_order_source,lot_id,proposal_id,bafo_revision_id,evaluation_criteria_id
CONT-AIRDN-0386,VEND-AIRDN-183,Synthetic Supplier 183,ITSM workflow subscription,Corporate and SAP AMS,Data and AI,data center ops,renewal within 24 months,T&M,indexed,standard commercial review,SRC-AIRDN-CONT-003,2021-08-01,2027-02-28,2026-05-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0170,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-08,INV-AIRDN-0026,CO-AIRDN-0002,LOT-AIRDN-08,BID-AIRDN-B-LOT-AIRDN-08,BAFO-BID-AIRDN-B-LOT-AIRDN-08-R2,EVAL-LOT-AIRDN-08
CONT-AIRDN-0387,VEND-AIRDN-190,Synthetic Supplier 190,mainframe software agreement,Digital Customer and Loyalty AMS,Cybersecurity,network/telecom,extension option,unit-rate,withheld,standard commercial review,SRC-AIRDN-CONT-004,2022-09-01,2028-03-28,2027-06-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0171,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-09,INV-AIRDN-0027,CO-AIRDN-0003,LOT-AIRDN-09,BID-AIRDN-C-LOT-AIRDN-09,BAFO-BID-AIRDN-C-LOT-AIRDN-09-R1,EVAL-LOT-AIRDN-09
CONT-AIRDN-0388,VEND-AIRDN-197,Synthetic Supplier 197,colocation contract,Data Analytics and Integration,Workplace,workplace,transition assistance required,consumption,exact,standard commercial review,SRC-AIRDN-CONT-005,2023-01-01,2026-04-28,2025-07-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0172,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-01,INV-AIRDN-0028,CO-AIRDN-0004,LOT-AIRDN-01,BID-AIRDN-A-LOT-AIRDN-01,BAFO-BID-AIRDN-A-LOT-AIRDN-01-R2,EVAL-LOT-AIRDN-01
CONT-AIRDN-0389,VEND-AIRDN-204,Synthetic Supplier 204,BPO services SOW,Cloud Infrastructure and Mainframe,Service Management,service desk,exit rights need review,hybrid fixed + variable,range,standard commercial review,SRC-AIRDN-CONT-006,2020-02-01,2027-05-28,2026-08-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0173,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-02,INV-AIRDN-0029,CO-AIRDN-0005,LOT-AIRDN-02,BID-AIRDN-B-LOT-AIRDN-02,BAFO-BID-AIRDN-B-LOT-AIRDN-02-R1,EVAL-LOT-AIRDN-02
CONT-AIRDN-0390,VEND-AIRDN-211,Synthetic Supplier 211,MSA,Workplace Service Desk and Field Support,Flight Operations,airport technology support,active,committed spend,indexed,high exit-term sensitivity,SRC-AIRDN-CONT-007,2021-03-01,2028-06-28,2027-09-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0174,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-03,INV-AIRDN-0030,CO-AIRDN-0006,LOT-AIRDN-03,BID-AIRDN-C-LOT-AIRDN-03,BAFO-BID-AIRDN-C-LOT-AIRDN-03-R2,EVAL-LOT-AIRDN-03
CONT-AIRDN-0391,VEND-AIRDN-218,Synthetic Supplier 218,SOW,SIAM Observability and Service Governance,Operations Control,database/middleware ops,renewal within 12 months,outcome-linked,withheld,standard commercial review,SRC-AIRDN-CONT-008,2022-04-01,2026-07-28,2025-10-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0175,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-04,INV-AIRDN-0031,CO-AIRDN-0007,LOT-AIRDN-04,BID-AIRDN-A-LOT-AIRDN-04,BAFO-BID-AIRDN-A-LOT-AIRDN-04-R1,EVAL-LOT-AIRDN-04
CONT-AIRDN-0392,VEND-AIRDN-225,Synthetic Supplier 225,rate card,Airline Operations AMS,Crew Operations,observability,renewal within 24 months,fixed fee,exact,SLA credit ambiguity,SRC-AIRDN-CONT-009,2023-05-01,2027-08-28,2026-11-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0176,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-05,INV-AIRDN-0032,CO-AIRDN-0008,LOT-AIRDN-05,BID-AIRDN-B-LOT-AIRDN-05,BAFO-BID-AIRDN-B-LOT-AIRDN-05-R2,EVAL-LOT-AIRDN-05
CONT-AIRDN-0393,VEND-AIRDN-232,Synthetic Supplier 232,software subscription,Corporate and SAP AMS,Technical Operations,finance operations,extension option,T&M,range,standard commercial review,SRC-AIRDN-CONT-010,2020-06-01,2028-09-28,2027-12-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0177,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-06,INV-AIRDN-0033,CO-AIRDN-0009,LOT-AIRDN-06,BID-AIRDN-C-LOT-AIRDN-06,BAFO-BID-AIRDN-C-LOT-AIRDN-06-R1,EVAL-LOT-AIRDN-06
CONT-AIRDN-0394,VEND-AIRDN-239,Synthetic Supplier 239,managed service agreement,Digital Customer and Loyalty AMS,Airport Operations,procurement operations,transition assistance required,unit-rate,indexed,standard commercial review,SRC-AIRDN-CONT-011,2021-07-01,2026-10-28,2025-01-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0178,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-07,INV-AIRDN-0034,CO-AIRDN-0010,LOT-AIRDN-07,BID-AIRDN-A-LOT-AIRDN-07,BAFO-BID-AIRDN-A-LOT-AIRDN-07-R2,EVAL-LOT-AIRDN-07
CONT-AIRDN-0395,VEND-AIRDN-246,Synthetic Supplier 246,cloud commit,Data Analytics and Integration,Passenger Service,customer-contact support,exit rights need review,consumption,withheld,standard commercial review,SRC-AIRDN-CONT-012,2022-08-01,2027-11-28,2026-02-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0179,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-08,INV-AIRDN-0035,CO-AIRDN-0011,LOT-AIRDN-08,BID-AIRDN-B-LOT-AIRDN-08,BAFO-BID-AIRDN-B-LOT-AIRDN-08-R1,EVAL-LOT-AIRDN-08
CONT-AIRDN-0396,VEND-AIRDN-253,Synthetic Supplier 253,maintenance agreement,Cloud Infrastructure and Mainframe,Commercial,application run/enhancement,active,hybrid fixed + variable,exact,high exit-term sensitivity,SRC-AIRDN-CONT-013,2023-09-01,2028-12-28,2027-03-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0180,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-09,INV-AIRDN-0036,CO-AIRDN-0012,LOT-AIRDN-09,BID-AIRDN-C-LOT-AIRDN-09,BAFO-BID-AIRDN-C-LOT-AIRDN-09-R2,EVAL-LOT-AIRDN-09
CONT-AIRDN-0397,VEND-AIRDN-260,Synthetic Supplier 260,professional services SOW,Workplace Service Desk and Field Support,Cargo,SAP AMS,renewal within 12 months,committed spend,range,standard commercial review,SRC-AIRDN-CONT-014,2020-01-01,2026-01-28,2025-04-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0181,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-01,INV-AIRDN-0037,CO-AIRDN-0013,LOT-AIRDN-01,BID-AIRDN-A-LOT-AIRDN-01,BAFO-BID-AIRDN-A-LOT-AIRDN-01-R1,EVAL-LOT-AIRDN-01
CONT-AIRDN-0398,VEND-AIRDN-267,Synthetic Supplier 267,data platform agreement,SIAM Observability and Service Governance,Corporate Finance,mainframe AMS,renewal within 24 months,outcome-linked,indexed,standard commercial review,SRC-AIRDN-CONT-015,2021-02-01,2027-02-28,2026-05-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0182,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-02,INV-AIRDN-0038,CO-AIRDN-0014,LOT-AIRDN-02,BID-AIRDN-B-LOT-AIRDN-02,BAFO-BID-AIRDN-B-LOT-AIRDN-02-R2,EVAL-LOT-AIRDN-02
CONT-AIRDN-0399,VEND-AIRDN-274,Synthetic Supplier 274,telecom/network services,Airline Operations AMS,Procurement,airline operations AMS,extension option,fixed fee,withheld,standard commercial review,SRC-AIRDN-CONT-016,2022-03-01,2028-03-28,2027-06-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0183,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-03,INV-AIRDN-0039,CO-AIRDN-0015,LOT-AIRDN-03,BID-AIRDN-C-LOT-AIRDN-03,BAFO-BID-AIRDN-C-LOT-AIRDN-03-R1,EVAL-LOT-AIRDN-03
CONT-AIRDN-0400,VEND-AIRDN-281,Synthetic Supplier 281,cybersecurity services,Corporate and SAP AMS,Technology,digital support,transition assistance required,T&M,exact,supplier concentration,SRC-AIRDN-CONT-017,2023-04-01,2026-04-28,2025-07-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0184,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-04,INV-AIRDN-0040,CO-AIRDN-0016,LOT-AIRDN-04,BID-AIRDN-A-LOT-AIRDN-04,BAFO-BID-AIRDN-A-LOT-AIRDN-04-R2,EVAL-LOT-AIRDN-04
CONT-AIRDN-0401,VEND-AIRDN-288,Synthetic Supplier 288,ITSM workflow subscription,Digital Customer and Loyalty AMS,Data and AI,data platform ops,exit rights need review,unit-rate,range,standard commercial review,SRC-AIRDN-CONT-018,2020-05-01,2027-05-28,2026-08-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0185,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-05,INV-AIRDN-0041,CO-AIRDN-0017,LOT-AIRDN-05,BID-AIRDN-B-LOT-AIRDN-05,BAFO-BID-AIRDN-B-LOT-AIRDN-05-R1,EVAL-LOT-AIRDN-05
CONT-AIRDN-0402,VEND-AIRDN-295,Synthetic Supplier 295,mainframe software agreement,Data Analytics and Integration,Cybersecurity,testing/QA,active,consumption,indexed,high exit-term sensitivity,SRC-AIRDN-CONT-019,2021-06-01,2028-06-28,2027-09-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0186,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-06,INV-AIRDN-0042,CO-AIRDN-0018,LOT-AIRDN-06,BID-AIRDN-C-LOT-AIRDN-06,BAFO-BID-AIRDN-C-LOT-AIRDN-06-R2,EVAL-LOT-AIRDN-06
CONT-AIRDN-0403,VEND-AIRDN-302,Synthetic Supplier 302,colocation contract,Cloud Infrastructure and Mainframe,Workplace,release management,renewal within 12 months,hybrid fixed + variable,withheld,standard commercial review,SRC-AIRDN-CONT-020,2022-07-01,2026-07-28,2025-10-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0187,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-07,INV-AIRDN-0043,CO-AIRDN-0019,LOT-AIRDN-07,BID-AIRDN-A-LOT-AIRDN-07,BAFO-BID-AIRDN-A-LOT-AIRDN-07-R1,EVAL-LOT-AIRDN-07
CONT-AIRDN-0404,VEND-AIRDN-309,Synthetic Supplier 309,BPO services SOW,Workplace Service Desk and Field Support,Service Management,data center ops,renewal within 24 months,committed spend,exact,standard commercial review,SRC-AIRDN-CONT-021,2023-08-01,2027-08-28,2026-11-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0188,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-08,INV-AIRDN-0044,CO-AIRDN-0020,LOT-AIRDN-08,BID-AIRDN-B-LOT-AIRDN-08,BAFO-BID-AIRDN-B-LOT-AIRDN-08-R2,EVAL-LOT-AIRDN-08
CONT-AIRDN-0405,VEND-AIRDN-316,Synthetic Supplier 316,MSA,SIAM Observability and Service Governance,Flight Operations,network/telecom,extension option,outcome-linked,range,standard commercial review,SRC-AIRDN-CONT-022,2020-09-01,2028-09-28,2027-12-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0189,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-09,INV-AIRDN-0045,CO-AIRDN-0021,LOT-AIRDN-09,BID-AIRDN-C-LOT-AIRDN-09,BAFO-BID-AIRDN-C-LOT-AIRDN-09-R1,EVAL-LOT-AIRDN-09
CONT-AIRDN-0406,VEND-AIRDN-323,Synthetic Supplier 323,SOW,Airline Operations AMS,Operations Control,workplace,transition assistance required,fixed fee,indexed,SLA credit ambiguity,SRC-AIRDN-CONT-023,2021-01-01,2026-10-28,2025-01-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0190,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-01,INV-AIRDN-0046,CO-AIRDN-0022,LOT-AIRDN-01,BID-AIRDN-A-LOT-AIRDN-01,BAFO-BID-AIRDN-A-LOT-AIRDN-01-R2,EVAL-LOT-AIRDN-01
CONT-AIRDN-0407,VEND-AIRDN-330,Synthetic Supplier 330,rate card,Corporate and SAP AMS,Crew Operations,service desk,exit rights need review,T&M,withheld,standard commercial review,SRC-AIRDN-CONT-024,2022-02-01,2027-11-28,2026-02-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0191,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-02,INV-AIRDN-0047,CO-AIRDN-0023,LOT-AIRDN-02,BID-AIRDN-B-LOT-AIRDN-02,BAFO-BID-AIRDN-B-LOT-AIRDN-02-R1,EVAL-LOT-AIRDN-02
CONT-AIRDN-0408,VEND-AIRDN-337,Synthetic Supplier 337,software subscription,Digital Customer and Loyalty AMS,Technical Operations,airport technology support,active,unit-rate,exact,high exit-term sensitivity,SRC-AIRDN-CONT-025,2023-03-01,2028-12-28,2027-03-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0192,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-03,INV-AIRDN-0048,CO-AIRDN-0024,LOT-AIRDN-03,BID-AIRDN-C-LOT-AIRDN-03,BAFO-BID-AIRDN-C-LOT-AIRDN-03-R2,EVAL-LOT-AIRDN-03
CONT-AIRDN-0409,VEND-AIRDN-344,Synthetic Supplier 344,managed service agreement,Data Analytics and Integration,Airport Operations,database/middleware ops,renewal within 12 months,consumption,range,standard commercial review,SRC-AIRDN-CONT-026,2020-04-01,2026-01-28,2025-04-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0193,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-04,INV-AIRDN-0049,CO-AIRDN-0025,LOT-AIRDN-04,BID-AIRDN-A-LOT-AIRDN-04,BAFO-BID-AIRDN-A-LOT-AIRDN-04-R1,EVAL-LOT-AIRDN-04
CONT-AIRDN-0410,VEND-AIRDN-351,Synthetic Supplier 351,cloud commit,Cloud Infrastructure and Mainframe,Passenger Service,observability,renewal within 24 months,hybrid fixed + variable,indexed,supplier concentration,SRC-AIRDN-CONT-027,2021-05-01,2027-02-28,2026-05-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0194,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-05,INV-AIRDN-0050,CO-AIRDN-0026,LOT-AIRDN-05,BID-AIRDN-B-LOT-AIRDN-05,BAFO-BID-AIRDN-B-LOT-AIRDN-05-R2,EVAL-LOT-AIRDN-05
CONT-AIRDN-0411,VEND-AIRDN-358,Synthetic Supplier 358,maintenance agreement,Workplace Service Desk and Field Support,Commercial,finance operations,extension option,committed spend,withheld,standard commercial review,SRC-AIRDN-CONT-028,2022-06-01,2028-03-28,2027-06-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0195,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-06,INV-AIRDN-0051,CO-AIRDN-0027,LOT-AIRDN-06,BID-AIRDN-C-LOT-AIRDN-06,BAFO-BID-AIRDN-C-LOT-AIRDN-06-R1,EVAL-LOT-AIRDN-06
CONT-AIRDN-0412,VEND-AIRDN-365,Synthetic Supplier 365,professional services SOW,SIAM Observability and Service Governance,Cargo,procurement operations,transition assistance required,outcome-linked,exact,standard commercial review,SRC-AIRDN-CONT-029,2023-07-01,2026-04-28,2025-07-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0196,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-07,INV-AIRDN-0052,CO-AIRDN-0028,LOT-AIRDN-07,BID-AIRDN-A-LOT-AIRDN-07,BAFO-BID-AIRDN-A-LOT-AIRDN-07-R2,EVAL-LOT-AIRDN-07
CONT-AIRDN-0413,VEND-AIRDN-372,Synthetic Supplier 372,data platform agreement,Airline Operations AMS,Corporate Finance,customer-contact support,exit rights need review,fixed fee,range,standard commercial review,SRC-AIRDN-CONT-030,2020-08-01,2027-05-28,2026-08-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0197,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-08,INV-AIRDN-0053,CO-AIRDN-0029,LOT-AIRDN-08,BID-AIRDN-B-LOT-AIRDN-08,BAFO-BID-AIRDN-B-LOT-AIRDN-08-R1,EVAL-LOT-AIRDN-08
CONT-AIRDN-0414,VEND-AIRDN-379,Synthetic Supplier 379,telecom/network services,Corporate and SAP AMS,Procurement,application run/enhancement,active,T&M,indexed,high exit-term sensitivity,SRC-AIRDN-CONT-031,2021-09-01,2028-06-28,2027-09-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0198,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-09,INV-AIRDN-0054,CO-AIRDN-0030,LOT-AIRDN-09,BID-AIRDN-C-LOT-AIRDN-09,BAFO-BID-AIRDN-C-LOT-AIRDN-09-R2,EVAL-LOT-AIRDN-09
CONT-AIRDN-0415,VEND-AIRDN-386,Synthetic Supplier 386,cybersecurity services,Digital Customer and Loyalty AMS,Technology,SAP AMS,renewal within 12 months,unit-rate,withheld,standard commercial review,SRC-AIRDN-CONT-032,2022-01-01,2026-07-28,2025-10-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0199,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-01,INV-AIRDN-0055,CO-AIRDN-0031,LOT-AIRDN-01,BID-AIRDN-A-LOT-AIRDN-01,BAFO-BID-AIRDN-A-LOT-AIRDN-01-R1,EVAL-LOT-AIRDN-01
CONT-AIRDN-0416,VEND-AIRDN-393,Synthetic Supplier 393,ITSM workflow subscription,Data Analytics and Integration,Data and AI,mainframe AMS,renewal within 24 months,consumption,exact,standard commercial review,SRC-AIRDN-CONT-033,2023-02-01,2027-08-28,2026-11-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0200,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-02,INV-AIRDN-0056,CO-AIRDN-0032,LOT-AIRDN-02,BID-AIRDN-B-LOT-AIRDN-02,BAFO-BID-AIRDN-B-LOT-AIRDN-02-R2,EVAL-LOT-AIRDN-02
CONT-AIRDN-0417,VEND-AIRDN-400,Synthetic Supplier 400,mainframe software agreement,Cloud Infrastructure and Mainframe,Cybersecurity,airline operations AMS,extension option,hybrid fixed + variable,range,standard commercial review,SRC-AIRDN-CONT-034,2020-03-01,2028-09-28,2027-12-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0201,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-03,INV-AIRDN-0057,CO-AIRDN-0033,LOT-AIRDN-03,BID-AIRDN-C-LOT-AIRDN-03,BAFO-BID-AIRDN-C-LOT-AIRDN-03-R1,EVAL-LOT-AIRDN-03
CONT-AIRDN-0418,VEND-AIRDN-407,Synthetic Supplier 407,colocation contract,Workplace Service Desk and Field Support,Workplace,digital support,transition assistance required,committed spend,indexed,standard commercial review,SRC-AIRDN-CONT-035,2021-04-01,2026-10-28,2025-01-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0202,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-04,INV-AIRDN-0058,CO-AIRDN-0034,LOT-AIRDN-04,BID-AIRDN-A-LOT-AIRDN-04,BAFO-BID-AIRDN-A-LOT-AIRDN-04-R2,EVAL-LOT-AIRDN-04
CONT-AIRDN-0419,VEND-AIRDN-414,Synthetic Supplier 414,BPO services SOW,SIAM Observability and Service Governance,Service Management,data platform ops,exit rights need review,outcome-linked,withheld,standard commercial review,SRC-AIRDN-CONT-036,2022-05-01,2027-11-28,2026-02-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0203,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-05,INV-AIRDN-0059,CO-AIRDN-0035,LOT-AIRDN-05,BID-AIRDN-B-LOT-AIRDN-05,BAFO-BID-AIRDN-B-LOT-AIRDN-05-R1,EVAL-LOT-AIRDN-05
CONT-AIRDN-0420,VEND-AIRDN-001,Synthetic Supplier 001,MSA,Airline Operations AMS,Flight Operations,testing/QA,active,fixed fee,exact,high exit-term sensitivity,SRC-AIRDN-CONT-037,2023-06-01,2028-12-28,2027-03-15,lot-level termination on chronic breach,outcome-weighted service credits,not applicable for variable lot,RATE-AIRDN-0204,service credit terms missing from visible evidence,to be negotiated,executive approval for material changes,standard flow-down obligations,data residency not yet evidenced,transition assistance gap,SLAHIST-LOT-AIRDN-06,INV-AIRDN-0060,CO-AIRDN-0036,LOT-AIRDN-06,BID-AIRDN-C-LOT-AIRDN-06,BAFO-BID-AIRDN-C-LOT-AIRDN-06-R2,EVAL-LOT-AIRDN-06
CONT-AIRDN-0421,VEND-AIRDN-008,Synthetic Supplier 008,SOW,Corporate and SAP AMS,Operations Control,release management,renewal within 12 months,T&M,range,standard commercial review,SRC-AIRDN-CONT-038,2020-07-01,2026-01-28,2025-04-15,90-day convenience for tower carve-out,fixed base plus volume bands,indexed range,RATE-AIRDN-0205,critical incident credits with earn-back,CPI capped,CAB approval and priced change order,named subcontractors only,US-only regulated data,six-month transition assistance,SLAHIST-LOT-AIRDN-07,INV-AIRDN-0061,CO-AIRDN-0037,LOT-AIRDN-07,BID-AIRDN-A-LOT-AIRDN-07,BAFO-BID-AIRDN-A-LOT-AIRDN-07-R1,EVAL-LOT-AIRDN-07
CONT-AIRDN-0422,VEND-AIRDN-015,Synthetic Supplier 015,rate card,Digital Customer and Loyalty AMS,Crew Operations,data center ops,renewal within 24 months,unit-rate,indexed,standard commercial review,SRC-AIRDN-CONT-039,2021-08-01,2027-02-28,2026-05-15,cause plus SLA-credit trigger,unit-rate catalog,withheld exact value,RATE-AIRDN-0206,SLA pool capped at monthly charges,labor index pass-through,catalog rate if in-scope,prior approval required,US/EU split with controls,knowledge transfer and runbook escrow,SLAHIST-LOT-AIRDN-08,INV-AIRDN-0062,CO-AIRDN-0038,LOT-AIRDN-08,BID-AIRDN-B-LOT-AIRDN-08,BAFO-BID-AIRDN-B-LOT-AIRDN-08-R2,EVAL-LOT-AIRDN-08
CONT-AIRDN-0423,VEND-AIRDN-022,Synthetic Supplier 022,software subscription,Data Analytics and Integration,Technical Operations,network/telecom,extension option,consumption,withheld,standard commercial review,SRC-AIRDN-CONT-040,2022-09-01,2028-03-28,2027-06-15,transition-only termination after cure period,committed capacity plus consumption overage,tiered annual minimum,RATE-AIRDN-0207,tower-level credit and root-cause obligation,fixed annual escalator,joint estimate required,restricted for regulated data,global support with masked data,shadow-run required,SLAHIST-LOT-AIRDN-09,INV-AIRDN-0063,CO-AIRDN-0039,LOT-AIRDN-09,BID-AIRDN-C-LOT-AIRDN-09,BAFO-BID-AIRDN-C-LOT-AIRDN-09-R1,EVAL-LOT-AIRDN-09
