tenant_key,vendor_name,contract_name,service_category,business_owner,contract_owner,annual_spend_usd,term_start,term_end,renewal_date,commercial_model,supported_systems,supported_functions,risk_rating,pricing_history,utilization_evidence,contract_terms_detail,renegotiation_levers,source_file,source_date,confidence,known_gaps,auto_renew_flag,notice_period_days,benchmark_clause,exit_cost_usd,concentration_risk
meridian-health,IBM Corporation,IBM Corporation Rate Card Agreement,legacy mainframe & DB2 support,VP Legal & Privacy Counsel,"Director, Vendor & Contract Management",6265000,2023-07-01,2027-12-31,2026-06-30,per_user_subscription,(no 04_applications_systems row for IBM Corporation — services/advisory engagement only),Information Technology & Digital,low,FY25 $5.64M → FY26 $6.26M (+11.0%). Increase driven by list-price uplift and added entitlements under the per_user_subscription model; no corresponding change in contracted scope was recorded.,"Ticket volumes for this service ran 27% below the contracted band in the last two reporting quarters, with no credit applied.","5-year term ending 2027-12-31, auto-renewing for 12 months unless written notice is given 90 days before term end. per_user_subscription commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 27% unused entitlements at renewal — approximately $1.01M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 90-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,30,yes_annual,3214000,low
meridian-health,Nuance Communications (Microsoft),Nuance Communications Software License & Support Agreement,"clinical documentation / dictation (DAX, Dragon Medical)",VP Finance Operations,"Director, Vendor & Contract Management",5843000,2024-10-01,2028-12-31,2027-09-30,per_bed_per_month,Nuance DAX Copilot / Dragon Medical One; Nuance DAX Copilot / Dragon Medical One — Pilot,Clinical Informatics,low,FY25 $5.62M → FY26 $5.84M (+4.0%). Increase driven by list-price uplift and added entitlements under the per_bed_per_month model; no corresponding change in contracted scope was recorded.,11% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2028-12-31, auto-renewing for 12 months unless written notice is given 120 days before term end. per_bed_per_month commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 11% unused entitlements at renewal — approximately $0.39M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 120-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,30,yes_once_per_term,3277000,low
meridian-health,athenahealth,athenahealth Software License & Support Agreement,affiliated-practice ambulatory EHR (Community Connect alternative),VP Cybersecurity Operations,"Director, Vendor & Contract Management",3811000,2021-11-01,2028-12-31,2027-06-30,tiered_volume,(no 04_applications_systems row for athenahealth — services/advisory engagement only),Clinical Informatics,low,FY25 $3.43M → FY26 $3.81M (+11.0%). Increase driven by list-price uplift and added entitlements under the tiered_volume model; no corresponding change in contracted scope was recorded.,22% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2028-12-31, auto-renewing for 12 months unless written notice is given 180 days before term end. tiered_volume commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 22% unused entitlements at renewal — approximately $0.50M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 180-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,30,yes_annual,982000,low
meridian-health,Optum (UnitedHealth Group),Optum Managed Services Agreement,risk adjustment consulting & coding review services,VP Compliance,"Director, Vendor & Contract Management",7142000,2022-10-01,2029-12-31,2028-09-30,tiered_volume,(no 04_applications_systems row for Optum — services/advisory engagement only),Quality & Regulatory Affairs,low,FY25 $6.87M → FY26 $7.14M (+4.0%). Increase driven by volume growth and rate-card escalation under the tiered_volume model; no corresponding change in contracted scope was recorded.,"Ticket volumes for this service ran 33% below the contracted band in the last two reporting quarters, with no credit applied.","5-year term ending 2029-12-31, auto-renewing for 12 months unless written notice is given 60 days before term end. tiered_volume commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 33% unused entitlements at renewal — approximately $1.41M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 60-day notice date. (3) Reset the service baseline to observed volumes rather than the contracted band.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,30,yes_once_per_term,3043000,low
meridian-health,Conduent,Conduent Master Services Agreement (Amendment 2),member correspondence & print/mail services,VP Actuarial Services,"Director, Vendor & Contract Management",2225000,2020-06-01,2027-12-31,2026-12-30,per_member_per_month,Conduent Member Print/Mail Platform,Member Services & Patient Experience,low,FY25 $2.00M → FY26 $2.23M (+11.0%). Increase driven by volume growth and rate-card escalation under the per_member_per_month model; no corresponding change in contracted scope was recorded.,"Ticket volumes for this service ran 17% below the contracted band in the last two reporting quarters, with no credit applied.","3-year term ending 2027-12-31, auto-renewing for 12 months unless written notice is given 90 days before term end. per_member_per_month commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 17% unused entitlements at renewal — approximately $0.23M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 90-day notice date. (3) Reset the service baseline to observed volumes rather than the contracted band.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,30,none,1381000,low
meridian-health,Zelis Healthcare,Zelis Healthcare Statement of Work,claims payment & network pricing,VP Pharmacy Services,"Director, Vendor & Contract Management",6576000,2024-10-01,2028-12-31,2027-12-30,per_user_subscription,Zelis Claims Payment & Network Pricing,Health Plan & Payer Operations,medium,FY25 $6.32M → FY26 $6.58M (+4.0%). Increase driven by list-price uplift and added entitlements under the per_user_subscription model; no corresponding change in contracted scope was recorded.,28% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2028-12-31, auto-renewing for 12 months unless written notice is given 120 days before term end. per_user_subscription commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 28% unused entitlements at renewal — approximately $1.10M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 120-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,30,yes_once_per_term,1368000,low
meridian-health,Waystar,Waystar Managed Services Agreement,revenue cycle clearinghouse & patient payments,VP Risk Adjustment & RAF Programs,"Director, Vendor & Contract Management",4890000,2023-09-01,2029-12-31,2028-12-30,per_bed_per_month,Waystar Revenue Cycle Clearinghouse,Revenue Cycle,medium,FY25 $4.41M → FY26 $4.89M (+11.0%). Increase driven by list-price uplift and added entitlements under the per_bed_per_month model; no corresponding change in contracted scope was recorded.,12% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2029-12-31, auto-renewing for 12 months unless written notice is given 180 days before term end. per_bed_per_month commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 12% unused entitlements at renewal — approximately $0.35M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 180-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,60,yes_annual,1136000,low
meridian-health,R1 RCM,R1 RCM Rate Card Agreement,revenue cycle outsourced operations,SVP Revenue Cycle,"Director, Vendor & Contract Management",6600000,2021-11-01,2024-12-31,2023-09-30,time_and_materials,(no 04_applications_systems row for R1 RCM — services/advisory engagement only),Revenue Cycle,low,FY25 $6.35M → FY26 $6.60M (+4.0%). Increase driven by list-price uplift and added entitlements under the time_and_materials model; no corresponding change in contracted scope was recorded.,23% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2024-12-31, auto-renewing for 12 months unless written notice is given 60 days before term end. time_and_materials commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 23% unused entitlements at renewal — approximately $0.91M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 60-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,60,yes_annual,4163000,low
meridian-health,Conifer Health Solutions,Conifer Health Solutions Statement of Work,patient access outsourced staffing,VP IT Service Management & Support,"Director, Vendor & Contract Management",1609000,2022-07-01,2025-12-31,2024-09-30,time_and_materials,(no 04_applications_systems row for Conifer Health Solutions — services/advisory engagement only),Information Technology & Digital,medium,FY25 $1.45M → FY26 $1.61M (+11.0%). Increase driven by list-price uplift and added entitlements under the time_and_materials model; no corresponding change in contracted scope was recorded.,34% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2025-12-31, auto-renewing for 12 months unless written notice is given 90 days before term end. time_and_materials commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 34% unused entitlements at renewal — approximately $0.33M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 90-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,30,none,313000,low
meridian-health,Guidehouse,Guidehouse Statement of Work,management consulting — revenue cycle & quality,VP Enterprise Architecture,"Director, Vendor & Contract Management",6068000,2019-04-01,2022-12-31,2021-12-30,tiered_volume,(no 04_applications_systems row for Guidehouse — services/advisory engagement only),Quality & Regulatory Affairs,low,FY25 $5.83M → FY26 $6.07M (+4.0%). Increase driven by list-price uplift and added entitlements under the tiered_volume model; no corresponding change in contracted scope was recorded.,18% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2022-12-31, auto-renewing for 12 months unless written notice is given 120 days before term end. tiered_volume commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 18% unused entitlements at renewal — approximately $0.66M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 120-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,90,yes_once_per_term,2592000,low
meridian-health,Accenture,Accenture Enterprise License Agreement,systems integration & AI advisory,VP Physician Network Operations,"Director, Vendor & Contract Management",3300000,2020-04-01,2027-12-31,2026-12-30,fixed_annual_fee,(no 04_applications_systems row for Accenture — services/advisory engagement only),Information Technology & Digital,low,FY25 $2.97M → FY26 $3.30M (+11.0%). Increase driven by list-price uplift and added entitlements under the fixed_annual_fee model; no corresponding change in contracted scope was recorded.,29% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2027-12-31, auto-renewing for 12 months unless written notice is given 180 days before term end. fixed_annual_fee commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 29% unused entitlements at renewal — approximately $0.57M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 180-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,30,yes_annual,944000,low
meridian-health,Deloitte Consulting,Deloitte Consulting Subscription Services Agreement,management consulting — strategy & risk,VP Pharmacy Services,"Director, Vendor & Contract Management",1619000,2023-07-01,2029-12-31,2028-06-30,time_and_materials,(no 04_applications_systems row for Deloitte Consulting — services/advisory engagement only),Information Technology & Digital,medium,FY25 $1.56M → FY26 $1.62M (+4.0%). Increase driven by list-price uplift and added entitlements under the time_and_materials model; no corresponding change in contracted scope was recorded.,13% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2029-12-31, auto-renewing for 12 months unless written notice is given 60 days before term end. time_and_materials commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 13% unused entitlements at renewal — approximately $0.13M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 60-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,60,yes_once_per_term,918000,low
meridian-health,KLAS Research,KLAS Research Subscription Services Agreement,vendor performance benchmarking (advisory subscription),VP Facilities & Real Estate,"Director, Vendor & Contract Management",8061000,2020-06-01,2026-12-31,2025-12-30,per_transaction,(no 04_applications_systems row for KLAS Research — services/advisory engagement only),Information Technology & Digital,low,FY25 $7.26M → FY26 $8.06M (+11.0%). Increase driven by list-price uplift and added entitlements under the per_transaction model; no corresponding change in contracted scope was recorded.,24% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2026-12-31, auto-renewing for 12 months unless written notice is given 90 days before term end. per_transaction commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 24% unused entitlements at renewal — approximately $1.16M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 90-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,60,yes_once_per_term,3111000,low
meridian-health,Datavant,Datavant Managed Services Agreement,health data de-identification & tokenization,VP Medicare Advantage Programs,"Director, Vendor & Contract Management",9020000,2022-02-01,2027-12-31,2026-06-30,per_member_per_month,Datavant De-Identification Gateway,Information Technology & Digital,high,FY25 $8.67M → FY26 $9.02M (+4.0%). Increase driven by list-price uplift and added entitlements under the per_member_per_month model; no corresponding change in contracted scope was recorded.,8% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2027-12-31, auto-renewing for 12 months unless written notice is given 120 days before term end. per_member_per_month commercial model with an annual uplift cap; no benchmarking clause and no exit assistance obligation.",(1) Right-size the 8% unused entitlements at renewal — approximately $0.43M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 120-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,60,yes_annual,1712000,low
meridian-health,Health Gorilla,Health Gorilla Rate Card Agreement,health information exchange interoperability,VP Compliance,"Director, Vendor & Contract Management",3339000,2019-05-01,2026-12-31,2025-09-30,tiered_volume,Health Gorilla HIE Gateway,Information Technology & Digital,low,FY25 $3.01M → FY26 $3.34M (+11.0%). Increase driven by list-price uplift and added entitlements under the tiered_volume model; no corresponding change in contracted scope was recorded.,19% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2026-12-31, auto-renewing for 12 months unless written notice is given 180 days before term end. tiered_volume commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 19% unused entitlements at renewal — approximately $0.38M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 180-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,90,yes_once_per_term,1130000,low
meridian-health,Surescripts,Surescripts Master Services Agreement (Amendment 2),e-prescribing network,SVP Revenue Cycle,"Director, Vendor & Contract Management",7516000,2021-12-01,2026-12-31,2025-09-30,per_member_per_month,Surescripts E-Prescribing Network Gateway,Information Technology & Digital,medium,FY25 $7.23M → FY26 $7.52M (+4.0%). Increase driven by list-price uplift and added entitlements under the per_member_per_month model; no corresponding change in contracted scope was recorded.,30% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2026-12-31, auto-renewing for 12 months unless written notice is given 60 days before term end. per_member_per_month commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 30% unused entitlements at renewal — approximately $1.35M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 60-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,60,none,4515000,low
meridian-health,athenahealth Clearinghouse,athenahealth Clearinghouse Software License & Support Agreement,eligibility & claims status transactions,VP Enterprise Architecture,"Director, Vendor & Contract Management",4417000,2019-10-01,2024-12-31,2023-12-30,fixed_annual_fee,(no 04_applications_systems row for athenahealth Clearinghouse — services/advisory engagement only),Health Plan & Payer Operations,medium,FY25 $3.98M → FY26 $4.42M (+11.0%). Increase driven by list-price uplift and added entitlements under the fixed_annual_fee model; no corresponding change in contracted scope was recorded.,14% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2024-12-31, auto-renewing for 12 months unless written notice is given 90 days before term end. fixed_annual_fee commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 14% unused entitlements at renewal — approximately $0.37M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 90-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,60,yes_annual,1163000,low
meridian-health,Zoom Video Communications,Zoom Video Communications Rate Card Agreement,enterprise video conferencing,VP Nursing Informatics,"Director, Vendor & Contract Management",541000,2022-08-01,2028-12-31,2027-12-30,tiered_volume,(no 04_applications_systems row for Zoom Video Communications — services/advisory engagement only),Information Technology & Digital,low,FY25 $0.52M → FY26 $0.54M (+4.0%). Increase driven by list-price uplift and added entitlements under the tiered_volume model; no corresponding change in contracted scope was recorded.,25% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2028-12-31, auto-renewing for 12 months unless written notice is given 120 days before term end. tiered_volume commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 25% unused entitlements at renewal — approximately $0.08M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 120-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,no,30,none,328000,low
meridian-health,Twilio,Twilio Master Services Agreement,patient outreach / SMS notification platform,VP Actuarial Services,"Director, Vendor & Contract Management",707000,2023-12-01,2029-12-31,2028-09-30,per_transaction,Twilio Patient Outreach Platform,Information Technology & Digital,low,FY25 $0.64M → FY26 $0.71M (+11.0%). Increase driven by list-price uplift and added entitlements under the per_transaction model; no corresponding change in contracted scope was recorded.,9% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"5-year term ending 2029-12-31, auto-renewing for 12 months unless written notice is given 180 days before term end. per_transaction commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 9% unused entitlements at renewal — approximately $0.04M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 180-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,30,yes_annual,454000,low
meridian-health,Qualtrics,Qualtrics Statement of Work,patient experience survey platform (non-CAHPS),VP Facilities & Real Estate,"Director, Vendor & Contract Management",8986000,2023-06-01,2028-12-31,2027-06-30,per_bed_per_month,Qualtrics Patient Experience Survey Platform,Quality & Regulatory Affairs,high,FY25 $8.64M → FY26 $8.99M (+4.0%). Increase driven by list-price uplift and added entitlements under the per_bed_per_month model; no corresponding change in contracted scope was recorded.,20% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"3-year term ending 2028-12-31, auto-renewing for 12 months unless written notice is given 60 days before term end. per_bed_per_month commercial model with an annual uplift cap; no benchmarking clause and no exit assistance obligation.",(1) Right-size the 20% unused entitlements at renewal — approximately $1.08M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 60-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,60,none,5375000,low
meridian-health,Iron Mountain,Iron Mountain Software License & Support Agreement,records storage & data destruction,VP Risk Adjustment & RAF Programs,"Director, Vendor & Contract Management",1904000,2019-02-01,2026-12-31,2025-09-30,tiered_volume,(no 04_applications_systems row for Iron Mountain — services/advisory engagement only),Information Technology & Digital,low,FY25 $1.72M → FY26 $1.90M (+11.0%). Increase driven by list-price uplift and added entitlements under the tiered_volume model; no corresponding change in contracted scope was recorded.,31% of provisioned entitlements show no recorded activity in the trailing 90 days per the internal asset report; the remainder are within normal usage.,"4-year term ending 2026-12-31, auto-renewing for 12 months unless written notice is given 90 days before term end. tiered_volume commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 31% unused entitlements at renewal — approximately $0.35M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 90-day notice date. (3) Consolidate overlapping entitlements held under adjacent agreements with the same supplier.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,90,yes_once_per_term,1010000,low
meridian-health,Konica Minolta (All Covered),Konica Minolta Managed Services Agreement,managed print & document services,VP Epic Applications,"Director, Vendor & Contract Management",6668000,2020-03-01,2026-12-31,2025-06-30,tiered_volume,Konica Minolta Managed Print Services,Information Technology & Digital,low,FY25 $6.41M → FY26 $6.67M (+4.0%). Increase driven by volume growth and rate-card escalation under the tiered_volume model; no corresponding change in contracted scope was recorded.,"Ticket volumes for this service ran 15% below the contracted band in the last two reporting quarters, with no credit applied.","5-year term ending 2026-12-31, auto-renewing for 12 months unless written notice is given 120 days before term end. tiered_volume commercial model with an annual uplift cap; benchmarking permitted once per term.",(1) Right-size the 15% unused entitlements at renewal — approximately $0.60M annually at current unit pricing. (2) Convert the uncapped uplift to a fixed escalator ahead of the 120-day notice date. (3) Reset the service baseline to observed volumes rather than the contracted band.,datasets/tenant-inputs/active/meridian-health/current/07_vendors_contracts.csv,2026-07-31,medium,Synthetic planning-grade content generated for the meridian-health enrichment from the Phase-0 design corpus in clients/meridian-health/19-template-instantiation-source-corpus/; not yet validated against real client-provided evidence or workshop sign-off; candidate/local-only pending explicit promotion review.,yes,30,none,4147000,low
