interface_id,from_application_id,to_application_id,method,frequency,criticality,middleware_pattern,owning_function,evidence_gap,source_id
INT-HCDN-05241,APP-HCDN-01618,APP-HCDN-00599,FHIR/API,near real-time,high,interface engine,Procurement,source-backed candidate,SRC-HCDN-INT-058
INT-HCDN-05242,APP-HCDN-01625,APP-HCDN-00616,X12 EDI,hourly,standard,API gateway,HR,source-backed candidate,SRC-HCDN-INT-059
INT-HCDN-05243,APP-HCDN-01632,APP-HCDN-00633,SFTP flat file,daily,standard,SFTP hub,Supply Chain,source-backed candidate,SRC-HCDN-INT-060
INT-HCDN-05244,APP-HCDN-01639,APP-HCDN-00650,database link,weekly,high,SSIS runtime,Privacy,ambiguous endpoint name,SRC-HCDN-INT-061
INT-HCDN-05245,APP-HCDN-01646,APP-HCDN-00667,SSIS package,monthly,standard,data pipeline orchestrator,Compliance,source-backed candidate,SRC-HCDN-INT-062
INT-HCDN-05246,APP-HCDN-01653,APP-HCDN-00684,Epic Bridges,event-driven,standard,claims EDI gateway,Provider Network,source-backed candidate,SRC-HCDN-INT-063
INT-HCDN-05247,APP-HCDN-01660,APP-HCDN-00701,event stream,nightly batch,critical,FHIR gateway,Value-Based Care,source-backed candidate,SRC-HCDN-INT-064
INT-HCDN-05248,APP-HCDN-01667,APP-HCDN-00718,batch extract,real-time,standard,Epic Bridges,Clinical Operations,source-backed candidate,SRC-HCDN-INT-001
INT-HCDN-05249,APP-HCDN-00004,APP-HCDN-00735,vendor API,near real-time,standard,interface engine,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-002
INT-HCDN-05250,APP-HCDN-00011,APP-HCDN-00752,HL7 v2,hourly,high,API gateway,Patient Access,source-backed candidate,SRC-HCDN-INT-003
INT-HCDN-05251,APP-HCDN-00018,APP-HCDN-00769,FHIR/API,daily,standard,SFTP hub,Interoperability,source-backed candidate,SRC-HCDN-INT-004
INT-HCDN-05252,APP-HCDN-00025,APP-HCDN-00786,X12 EDI,weekly,standard,SSIS runtime,Population Health,retired/active duplicate,SRC-HCDN-INT-005
INT-HCDN-05253,APP-HCDN-00032,APP-HCDN-00803,SFTP flat file,monthly,high,data pipeline orchestrator,Health Plan Operations,source-backed candidate,SRC-HCDN-INT-006
INT-HCDN-05254,APP-HCDN-00039,APP-HCDN-00820,database link,event-driven,standard,claims EDI gateway,Medicare Advantage,source-backed candidate,SRC-HCDN-INT-007
INT-HCDN-05255,APP-HCDN-00046,APP-HCDN-00837,SSIS package,nightly batch,standard,FHIR gateway,Claims Operations,source-backed candidate,SRC-HCDN-INT-008
INT-HCDN-05256,APP-HCDN-00053,APP-HCDN-00854,Epic Bridges,real-time,critical,Epic Bridges,Utilization Management,ambiguous endpoint name,SRC-HCDN-INT-009
INT-HCDN-05257,APP-HCDN-00060,APP-HCDN-00871,event stream,near real-time,standard,interface engine,Member Services,source-backed candidate,SRC-HCDN-INT-010
INT-HCDN-05258,APP-HCDN-00067,APP-HCDN-00888,batch extract,hourly,standard,API gateway,Quality and Stars,source-backed candidate,SRC-HCDN-INT-011
INT-HCDN-05259,APP-HCDN-00074,APP-HCDN-00905,vendor API,daily,high,SFTP hub,Risk Adjustment,source-backed candidate,SRC-HCDN-INT-012
INT-HCDN-05260,APP-HCDN-00081,APP-HCDN-00922,HL7 v2,weekly,standard,SSIS runtime,Care Management,source-backed candidate,SRC-HCDN-INT-013
INT-HCDN-05261,APP-HCDN-00088,APP-HCDN-00939,FHIR/API,monthly,standard,data pipeline orchestrator,Finance,source-backed candidate,SRC-HCDN-INT-014
INT-HCDN-05262,APP-HCDN-00095,APP-HCDN-00956,X12 EDI,event-driven,high,claims EDI gateway,Coding,source-backed candidate,SRC-HCDN-INT-015
INT-HCDN-05263,APP-HCDN-00102,APP-HCDN-00973,SFTP flat file,nightly batch,standard,FHIR gateway,Payer Contracting,source-backed candidate,SRC-HCDN-INT-016
INT-HCDN-05264,APP-HCDN-00109,APP-HCDN-00990,database link,real-time,standard,Epic Bridges,Digital Front Door,source-backed candidate,SRC-HCDN-INT-017
INT-HCDN-05265,APP-HCDN-00116,APP-HCDN-01007,SSIS package,near real-time,critical,interface engine,Contact Center,retired/active duplicate,SRC-HCDN-INT-018
INT-HCDN-05266,APP-HCDN-00123,APP-HCDN-01024,Epic Bridges,hourly,standard,API gateway,Ambulatory Care,source-backed candidate,SRC-HCDN-INT-019
INT-HCDN-05267,APP-HCDN-00130,APP-HCDN-01041,event stream,daily,standard,SFTP hub,Emergency Department,source-backed candidate,SRC-HCDN-INT-020
INT-HCDN-05268,APP-HCDN-00137,APP-HCDN-01058,batch extract,weekly,high,SSIS runtime,Inpatient,ambiguous endpoint name,SRC-HCDN-INT-021
INT-HCDN-05269,APP-HCDN-00144,APP-HCDN-01075,vendor API,monthly,standard,data pipeline orchestrator,Surgery,source-backed candidate,SRC-HCDN-INT-022
INT-HCDN-05270,APP-HCDN-00151,APP-HCDN-01092,HL7 v2,event-driven,standard,claims EDI gateway,Imaging,source-backed candidate,SRC-HCDN-INT-023
INT-HCDN-05271,APP-HCDN-00158,APP-HCDN-01109,FHIR/API,nightly batch,high,FHIR gateway,Lab,source-backed candidate,SRC-HCDN-INT-024
INT-HCDN-05272,APP-HCDN-00165,APP-HCDN-01126,X12 EDI,real-time,standard,Epic Bridges,Pharmacy,source-backed candidate,SRC-HCDN-INT-025
INT-HCDN-05273,APP-HCDN-00172,APP-HCDN-01143,SFTP flat file,near real-time,standard,interface engine,Oncology,source-backed candidate,SRC-HCDN-INT-026
INT-HCDN-05274,APP-HCDN-00179,APP-HCDN-01160,database link,hourly,critical,API gateway,Cardiology,source-backed candidate,SRC-HCDN-INT-027
INT-HCDN-05275,APP-HCDN-00186,APP-HCDN-01177,SSIS package,daily,standard,SFTP hub,Data and Analytics,source-backed candidate,SRC-HCDN-INT-028
INT-HCDN-05276,APP-HCDN-00193,APP-HCDN-01194,Epic Bridges,weekly,standard,SSIS runtime,Clinical Analytics,source-backed candidate,SRC-HCDN-INT-029
INT-HCDN-05277,APP-HCDN-00200,APP-HCDN-01211,event stream,monthly,high,data pipeline orchestrator,Actuarial,source-backed candidate,SRC-HCDN-INT-030
INT-HCDN-05278,APP-HCDN-00207,APP-HCDN-01228,batch extract,event-driven,standard,claims EDI gateway,Departmental Reporting,retired/active duplicate,SRC-HCDN-INT-031
INT-HCDN-05279,APP-HCDN-00214,APP-HCDN-01245,vendor API,nightly batch,standard,FHIR gateway,AI Transformation,source-backed candidate,SRC-HCDN-INT-032
INT-HCDN-05280,APP-HCDN-00221,APP-HCDN-01262,HL7 v2,real-time,high,Epic Bridges,Technology,ambiguous endpoint name,SRC-HCDN-INT-033
INT-HCDN-05281,APP-HCDN-00228,APP-HCDN-01279,FHIR/API,near real-time,standard,interface engine,Security,source-backed candidate,SRC-HCDN-INT-034
INT-HCDN-05282,APP-HCDN-00235,APP-HCDN-01296,X12 EDI,hourly,standard,API gateway,Procurement,source-backed candidate,SRC-HCDN-INT-035
INT-HCDN-05283,APP-HCDN-00242,APP-HCDN-01313,SFTP flat file,daily,critical,SFTP hub,HR,source-backed candidate,SRC-HCDN-INT-036
INT-HCDN-05284,APP-HCDN-00249,APP-HCDN-01330,database link,weekly,standard,SSIS runtime,Supply Chain,source-backed candidate,SRC-HCDN-INT-037
INT-HCDN-05285,APP-HCDN-00256,APP-HCDN-01347,SSIS package,monthly,standard,data pipeline orchestrator,Privacy,source-backed candidate,SRC-HCDN-INT-038
INT-HCDN-05286,APP-HCDN-00263,APP-HCDN-01364,Epic Bridges,event-driven,high,claims EDI gateway,Compliance,source-backed candidate,SRC-HCDN-INT-039
INT-HCDN-05287,APP-HCDN-00270,APP-HCDN-01381,event stream,nightly batch,standard,FHIR gateway,Provider Network,source-backed candidate,SRC-HCDN-INT-040
INT-HCDN-05288,APP-HCDN-00277,APP-HCDN-01398,batch extract,real-time,standard,Epic Bridges,Value-Based Care,source-backed candidate,SRC-HCDN-INT-041
INT-HCDN-05289,APP-HCDN-00284,APP-HCDN-01415,vendor API,near real-time,high,interface engine,Clinical Operations,source-backed candidate,SRC-HCDN-INT-042
INT-HCDN-05290,APP-HCDN-00291,APP-HCDN-01432,HL7 v2,hourly,standard,API gateway,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-043
INT-HCDN-05291,APP-HCDN-00298,APP-HCDN-01449,FHIR/API,daily,standard,SFTP hub,Patient Access,retired/active duplicate,SRC-HCDN-INT-044
INT-HCDN-05292,APP-HCDN-00305,APP-HCDN-01466,X12 EDI,weekly,critical,SSIS runtime,Interoperability,ambiguous endpoint name,SRC-HCDN-INT-045
INT-HCDN-05293,APP-HCDN-00312,APP-HCDN-01483,SFTP flat file,monthly,standard,data pipeline orchestrator,Population Health,source-backed candidate,SRC-HCDN-INT-046
INT-HCDN-05294,APP-HCDN-00319,APP-HCDN-01500,database link,event-driven,standard,claims EDI gateway,Health Plan Operations,source-backed candidate,SRC-HCDN-INT-047
INT-HCDN-05295,APP-HCDN-00326,APP-HCDN-01517,SSIS package,nightly batch,high,FHIR gateway,Medicare Advantage,source-backed candidate,SRC-HCDN-INT-048
INT-HCDN-05296,APP-HCDN-00333,APP-HCDN-01534,Epic Bridges,real-time,standard,Epic Bridges,Claims Operations,source-backed candidate,SRC-HCDN-INT-049
INT-HCDN-05297,APP-HCDN-00340,APP-HCDN-01551,event stream,near real-time,standard,interface engine,Utilization Management,source-backed candidate,SRC-HCDN-INT-050
INT-HCDN-05298,APP-HCDN-00347,APP-HCDN-01568,batch extract,hourly,high,API gateway,Member Services,source-backed candidate,SRC-HCDN-INT-051
INT-HCDN-05299,APP-HCDN-00354,APP-HCDN-01585,vendor API,daily,standard,SFTP hub,Quality and Stars,source-backed candidate,SRC-HCDN-INT-052
INT-HCDN-05300,APP-HCDN-00361,APP-HCDN-01602,HL7 v2,weekly,standard,SSIS runtime,Risk Adjustment,source-backed candidate,SRC-HCDN-INT-053
INT-HCDN-05301,APP-HCDN-00368,APP-HCDN-01619,FHIR/API,monthly,critical,data pipeline orchestrator,Care Management,source-backed candidate,SRC-HCDN-INT-054
INT-HCDN-05302,APP-HCDN-00375,APP-HCDN-01636,X12 EDI,event-driven,standard,claims EDI gateway,Finance,source-backed candidate,SRC-HCDN-INT-055
INT-HCDN-05303,APP-HCDN-00382,APP-HCDN-01653,SFTP flat file,nightly batch,standard,FHIR gateway,Coding,source-backed candidate,SRC-HCDN-INT-056
INT-HCDN-05304,APP-HCDN-00389,APP-HCDN-01670,database link,real-time,high,Epic Bridges,Payer Contracting,ambiguous endpoint name,SRC-HCDN-INT-057
INT-HCDN-05305,APP-HCDN-00396,APP-HCDN-00017,SSIS package,near real-time,standard,interface engine,Digital Front Door,source-backed candidate,SRC-HCDN-INT-058
INT-HCDN-05306,APP-HCDN-00403,APP-HCDN-00034,Epic Bridges,hourly,standard,API gateway,Contact Center,source-backed candidate,SRC-HCDN-INT-059
INT-HCDN-05307,APP-HCDN-00410,APP-HCDN-00051,event stream,daily,high,SFTP hub,Ambulatory Care,source-backed candidate,SRC-HCDN-INT-060
INT-HCDN-05308,APP-HCDN-00417,APP-HCDN-00068,batch extract,weekly,standard,SSIS runtime,Emergency Department,source-backed candidate,SRC-HCDN-INT-061
INT-HCDN-05309,APP-HCDN-00424,APP-HCDN-00085,vendor API,monthly,standard,data pipeline orchestrator,Inpatient,source-backed candidate,SRC-HCDN-INT-062
INT-HCDN-05310,APP-HCDN-00431,APP-HCDN-00102,HL7 v2,event-driven,critical,claims EDI gateway,Surgery,source-backed candidate,SRC-HCDN-INT-063
INT-HCDN-05311,APP-HCDN-00438,APP-HCDN-00119,FHIR/API,nightly batch,standard,FHIR gateway,Imaging,source-backed candidate,SRC-HCDN-INT-064
INT-HCDN-05312,APP-HCDN-00445,APP-HCDN-00136,X12 EDI,real-time,standard,Epic Bridges,Lab,source-backed candidate,SRC-HCDN-INT-001
INT-HCDN-05313,APP-HCDN-00452,APP-HCDN-00153,SFTP flat file,near real-time,high,interface engine,Pharmacy,source-backed candidate,SRC-HCDN-INT-002
INT-HCDN-05314,APP-HCDN-00459,APP-HCDN-00170,database link,hourly,standard,API gateway,Oncology,source-backed candidate,SRC-HCDN-INT-003
INT-HCDN-05315,APP-HCDN-00466,APP-HCDN-00187,SSIS package,daily,standard,SFTP hub,Cardiology,source-backed candidate,SRC-HCDN-INT-004
INT-HCDN-05316,APP-HCDN-00473,APP-HCDN-00204,Epic Bridges,weekly,high,SSIS runtime,Data and Analytics,ambiguous endpoint name,SRC-HCDN-INT-005
INT-HCDN-05317,APP-HCDN-00480,APP-HCDN-00221,event stream,monthly,standard,data pipeline orchestrator,Clinical Analytics,retired/active duplicate,SRC-HCDN-INT-006
INT-HCDN-05318,APP-HCDN-00487,APP-HCDN-00238,batch extract,event-driven,standard,claims EDI gateway,Actuarial,source-backed candidate,SRC-HCDN-INT-007
INT-HCDN-05319,APP-HCDN-00494,APP-HCDN-00255,vendor API,nightly batch,critical,FHIR gateway,Departmental Reporting,source-backed candidate,SRC-HCDN-INT-008
INT-HCDN-05320,APP-HCDN-00501,APP-HCDN-00272,HL7 v2,real-time,standard,Epic Bridges,AI Transformation,source-backed candidate,SRC-HCDN-INT-009
INT-HCDN-05321,APP-HCDN-00508,APP-HCDN-00289,FHIR/API,near real-time,standard,interface engine,Technology,source-backed candidate,SRC-HCDN-INT-010
INT-HCDN-05322,APP-HCDN-00515,APP-HCDN-00306,X12 EDI,hourly,high,API gateway,Security,source-backed candidate,SRC-HCDN-INT-011
INT-HCDN-05323,APP-HCDN-00522,APP-HCDN-00323,SFTP flat file,daily,standard,SFTP hub,Procurement,source-backed candidate,SRC-HCDN-INT-012
INT-HCDN-05324,APP-HCDN-00529,APP-HCDN-00340,database link,weekly,standard,SSIS runtime,HR,source-backed candidate,SRC-HCDN-INT-013
INT-HCDN-05325,APP-HCDN-00536,APP-HCDN-00357,SSIS package,monthly,high,data pipeline orchestrator,Supply Chain,source-backed candidate,SRC-HCDN-INT-014
INT-HCDN-05326,APP-HCDN-00543,APP-HCDN-00374,Epic Bridges,event-driven,standard,claims EDI gateway,Privacy,source-backed candidate,SRC-HCDN-INT-015
INT-HCDN-05327,APP-HCDN-00550,APP-HCDN-00391,event stream,nightly batch,standard,FHIR gateway,Compliance,source-backed candidate,SRC-HCDN-INT-016
INT-HCDN-05328,APP-HCDN-00557,APP-HCDN-00408,batch extract,real-time,critical,Epic Bridges,Provider Network,ambiguous endpoint name,SRC-HCDN-INT-017
INT-HCDN-05329,APP-HCDN-00564,APP-HCDN-00425,vendor API,near real-time,standard,interface engine,Value-Based Care,source-backed candidate,SRC-HCDN-INT-018
INT-HCDN-05330,APP-HCDN-00571,APP-HCDN-00442,HL7 v2,hourly,standard,API gateway,Clinical Operations,retired/active duplicate,SRC-HCDN-INT-019
INT-HCDN-05331,APP-HCDN-00578,APP-HCDN-00459,FHIR/API,daily,high,SFTP hub,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-020
INT-HCDN-05332,APP-HCDN-00585,APP-HCDN-00476,X12 EDI,weekly,standard,SSIS runtime,Patient Access,source-backed candidate,SRC-HCDN-INT-021
INT-HCDN-05333,APP-HCDN-00592,APP-HCDN-00493,SFTP flat file,monthly,standard,data pipeline orchestrator,Interoperability,source-backed candidate,SRC-HCDN-INT-022
INT-HCDN-05334,APP-HCDN-00599,APP-HCDN-00510,database link,event-driven,high,claims EDI gateway,Population Health,source-backed candidate,SRC-HCDN-INT-023
INT-HCDN-05335,APP-HCDN-00606,APP-HCDN-00527,SSIS package,nightly batch,standard,FHIR gateway,Health Plan Operations,source-backed candidate,SRC-HCDN-INT-024
INT-HCDN-05336,APP-HCDN-00613,APP-HCDN-00544,Epic Bridges,real-time,standard,Epic Bridges,Medicare Advantage,source-backed candidate,SRC-HCDN-INT-025
INT-HCDN-05337,APP-HCDN-00620,APP-HCDN-00561,event stream,near real-time,critical,interface engine,Claims Operations,source-backed candidate,SRC-HCDN-INT-026
INT-HCDN-05338,APP-HCDN-00627,APP-HCDN-00578,batch extract,hourly,standard,API gateway,Utilization Management,source-backed candidate,SRC-HCDN-INT-027
INT-HCDN-05339,APP-HCDN-00634,APP-HCDN-00595,vendor API,daily,standard,SFTP hub,Member Services,source-backed candidate,SRC-HCDN-INT-028
INT-HCDN-05340,APP-HCDN-00641,APP-HCDN-00612,HL7 v2,weekly,high,SSIS runtime,Quality and Stars,ambiguous endpoint name,SRC-HCDN-INT-029
INT-HCDN-05341,APP-HCDN-00648,APP-HCDN-00629,FHIR/API,monthly,standard,data pipeline orchestrator,Risk Adjustment,source-backed candidate,SRC-HCDN-INT-030
INT-HCDN-05342,APP-HCDN-00655,APP-HCDN-00646,X12 EDI,event-driven,standard,claims EDI gateway,Care Management,source-backed candidate,SRC-HCDN-INT-031
INT-HCDN-05343,APP-HCDN-00662,APP-HCDN-00663,SFTP flat file,nightly batch,high,FHIR gateway,Finance,retired/active duplicate,SRC-HCDN-INT-032
INT-HCDN-05344,APP-HCDN-00669,APP-HCDN-00680,database link,real-time,standard,Epic Bridges,Coding,source-backed candidate,SRC-HCDN-INT-033
INT-HCDN-05345,APP-HCDN-00676,APP-HCDN-00697,SSIS package,near real-time,standard,interface engine,Payer Contracting,source-backed candidate,SRC-HCDN-INT-034
INT-HCDN-05346,APP-HCDN-00683,APP-HCDN-00714,Epic Bridges,hourly,critical,API gateway,Digital Front Door,source-backed candidate,SRC-HCDN-INT-035
INT-HCDN-05347,APP-HCDN-00690,APP-HCDN-00731,event stream,daily,standard,SFTP hub,Contact Center,source-backed candidate,SRC-HCDN-INT-036
INT-HCDN-05348,APP-HCDN-00697,APP-HCDN-00748,batch extract,weekly,standard,SSIS runtime,Ambulatory Care,source-backed candidate,SRC-HCDN-INT-037
INT-HCDN-05349,APP-HCDN-00704,APP-HCDN-00765,vendor API,monthly,high,data pipeline orchestrator,Emergency Department,source-backed candidate,SRC-HCDN-INT-038
INT-HCDN-05350,APP-HCDN-00711,APP-HCDN-00782,HL7 v2,event-driven,standard,claims EDI gateway,Inpatient,source-backed candidate,SRC-HCDN-INT-039
INT-HCDN-05351,APP-HCDN-00718,APP-HCDN-00799,FHIR/API,nightly batch,standard,FHIR gateway,Surgery,source-backed candidate,SRC-HCDN-INT-040
INT-HCDN-05352,APP-HCDN-00725,APP-HCDN-00816,X12 EDI,real-time,high,Epic Bridges,Imaging,ambiguous endpoint name,SRC-HCDN-INT-041
INT-HCDN-05353,APP-HCDN-00732,APP-HCDN-00833,SFTP flat file,near real-time,standard,interface engine,Lab,source-backed candidate,SRC-HCDN-INT-042
INT-HCDN-05354,APP-HCDN-00739,APP-HCDN-00850,database link,hourly,standard,API gateway,Pharmacy,source-backed candidate,SRC-HCDN-INT-043
INT-HCDN-05355,APP-HCDN-00746,APP-HCDN-00867,SSIS package,daily,critical,SFTP hub,Oncology,source-backed candidate,SRC-HCDN-INT-044
INT-HCDN-05356,APP-HCDN-00753,APP-HCDN-00884,Epic Bridges,weekly,standard,SSIS runtime,Cardiology,retired/active duplicate,SRC-HCDN-INT-045
INT-HCDN-05357,APP-HCDN-00760,APP-HCDN-00901,event stream,monthly,standard,data pipeline orchestrator,Data and Analytics,source-backed candidate,SRC-HCDN-INT-046
INT-HCDN-05358,APP-HCDN-00767,APP-HCDN-00918,batch extract,event-driven,high,claims EDI gateway,Clinical Analytics,source-backed candidate,SRC-HCDN-INT-047
INT-HCDN-05359,APP-HCDN-00774,APP-HCDN-00935,vendor API,nightly batch,standard,FHIR gateway,Actuarial,source-backed candidate,SRC-HCDN-INT-048
INT-HCDN-05360,APP-HCDN-00781,APP-HCDN-00952,HL7 v2,real-time,standard,Epic Bridges,Departmental Reporting,source-backed candidate,SRC-HCDN-INT-049
INT-HCDN-05361,APP-HCDN-00788,APP-HCDN-00969,FHIR/API,near real-time,high,interface engine,AI Transformation,source-backed candidate,SRC-HCDN-INT-050
INT-HCDN-05362,APP-HCDN-00795,APP-HCDN-00986,X12 EDI,hourly,standard,API gateway,Technology,source-backed candidate,SRC-HCDN-INT-051
INT-HCDN-05363,APP-HCDN-00802,APP-HCDN-01003,SFTP flat file,daily,standard,SFTP hub,Security,source-backed candidate,SRC-HCDN-INT-052
INT-HCDN-05364,APP-HCDN-00809,APP-HCDN-01020,database link,weekly,critical,SSIS runtime,Procurement,ambiguous endpoint name,SRC-HCDN-INT-053
INT-HCDN-05365,APP-HCDN-00816,APP-HCDN-01037,SSIS package,monthly,standard,data pipeline orchestrator,HR,source-backed candidate,SRC-HCDN-INT-054
INT-HCDN-05366,APP-HCDN-00823,APP-HCDN-01054,Epic Bridges,event-driven,standard,claims EDI gateway,Supply Chain,source-backed candidate,SRC-HCDN-INT-055
INT-HCDN-05367,APP-HCDN-00830,APP-HCDN-01071,event stream,nightly batch,high,FHIR gateway,Privacy,source-backed candidate,SRC-HCDN-INT-056
INT-HCDN-05368,APP-HCDN-00837,APP-HCDN-01088,batch extract,real-time,standard,Epic Bridges,Compliance,source-backed candidate,SRC-HCDN-INT-057
INT-HCDN-05369,APP-HCDN-00844,APP-HCDN-01105,vendor API,near real-time,standard,interface engine,Provider Network,retired/active duplicate,SRC-HCDN-INT-058
INT-HCDN-05370,APP-HCDN-00851,APP-HCDN-01122,HL7 v2,hourly,high,API gateway,Value-Based Care,source-backed candidate,SRC-HCDN-INT-059
INT-HCDN-05371,APP-HCDN-00858,APP-HCDN-01139,FHIR/API,daily,standard,SFTP hub,Clinical Operations,source-backed candidate,SRC-HCDN-INT-060
INT-HCDN-05372,APP-HCDN-00865,APP-HCDN-01156,X12 EDI,weekly,standard,SSIS runtime,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-061
INT-HCDN-05373,APP-HCDN-00872,APP-HCDN-01173,SFTP flat file,monthly,critical,data pipeline orchestrator,Patient Access,source-backed candidate,SRC-HCDN-INT-062
INT-HCDN-05374,APP-HCDN-00879,APP-HCDN-01190,database link,event-driven,standard,claims EDI gateway,Interoperability,source-backed candidate,SRC-HCDN-INT-063
INT-HCDN-05375,APP-HCDN-00886,APP-HCDN-01207,SSIS package,nightly batch,standard,FHIR gateway,Population Health,source-backed candidate,SRC-HCDN-INT-064
INT-HCDN-05376,APP-HCDN-00893,APP-HCDN-01224,Epic Bridges,real-time,high,Epic Bridges,Health Plan Operations,ambiguous endpoint name,SRC-HCDN-INT-001
INT-HCDN-05377,APP-HCDN-00900,APP-HCDN-01241,event stream,near real-time,standard,interface engine,Medicare Advantage,source-backed candidate,SRC-HCDN-INT-002
INT-HCDN-05378,APP-HCDN-00907,APP-HCDN-01258,batch extract,hourly,standard,API gateway,Claims Operations,source-backed candidate,SRC-HCDN-INT-003
INT-HCDN-05379,APP-HCDN-00914,APP-HCDN-01275,vendor API,daily,high,SFTP hub,Utilization Management,source-backed candidate,SRC-HCDN-INT-004
INT-HCDN-05380,APP-HCDN-00921,APP-HCDN-01292,HL7 v2,weekly,standard,SSIS runtime,Member Services,source-backed candidate,SRC-HCDN-INT-005
INT-HCDN-05381,APP-HCDN-00928,APP-HCDN-01309,FHIR/API,monthly,standard,data pipeline orchestrator,Quality and Stars,source-backed candidate,SRC-HCDN-INT-006
INT-HCDN-05382,APP-HCDN-00935,APP-HCDN-01326,X12 EDI,event-driven,critical,claims EDI gateway,Risk Adjustment,retired/active duplicate,SRC-HCDN-INT-007
INT-HCDN-05383,APP-HCDN-00942,APP-HCDN-01343,SFTP flat file,nightly batch,standard,FHIR gateway,Care Management,source-backed candidate,SRC-HCDN-INT-008
INT-HCDN-05384,APP-HCDN-00949,APP-HCDN-01360,database link,real-time,standard,Epic Bridges,Finance,source-backed candidate,SRC-HCDN-INT-009
INT-HCDN-05385,APP-HCDN-00956,APP-HCDN-01377,SSIS package,near real-time,high,interface engine,Coding,source-backed candidate,SRC-HCDN-INT-010
INT-HCDN-05386,APP-HCDN-00963,APP-HCDN-01394,Epic Bridges,hourly,standard,API gateway,Payer Contracting,source-backed candidate,SRC-HCDN-INT-011
INT-HCDN-05387,APP-HCDN-00970,APP-HCDN-01411,event stream,daily,standard,SFTP hub,Digital Front Door,source-backed candidate,SRC-HCDN-INT-012
INT-HCDN-05388,APP-HCDN-00977,APP-HCDN-01428,batch extract,weekly,high,SSIS runtime,Contact Center,ambiguous endpoint name,SRC-HCDN-INT-013
INT-HCDN-05389,APP-HCDN-00984,APP-HCDN-01445,vendor API,monthly,standard,data pipeline orchestrator,Ambulatory Care,source-backed candidate,SRC-HCDN-INT-014
INT-HCDN-05390,APP-HCDN-00991,APP-HCDN-01462,HL7 v2,event-driven,standard,claims EDI gateway,Emergency Department,source-backed candidate,SRC-HCDN-INT-015
INT-HCDN-05391,APP-HCDN-00998,APP-HCDN-01479,FHIR/API,nightly batch,critical,FHIR gateway,Inpatient,source-backed candidate,SRC-HCDN-INT-016
INT-HCDN-05392,APP-HCDN-01005,APP-HCDN-01496,X12 EDI,real-time,standard,Epic Bridges,Surgery,source-backed candidate,SRC-HCDN-INT-017
INT-HCDN-05393,APP-HCDN-01012,APP-HCDN-01513,SFTP flat file,near real-time,standard,interface engine,Imaging,source-backed candidate,SRC-HCDN-INT-018
INT-HCDN-05394,APP-HCDN-01019,APP-HCDN-01530,database link,hourly,high,API gateway,Lab,source-backed candidate,SRC-HCDN-INT-019
INT-HCDN-05395,APP-HCDN-01026,APP-HCDN-01547,SSIS package,daily,standard,SFTP hub,Pharmacy,retired/active duplicate,SRC-HCDN-INT-020
INT-HCDN-05396,APP-HCDN-01033,APP-HCDN-01564,Epic Bridges,weekly,standard,SSIS runtime,Oncology,source-backed candidate,SRC-HCDN-INT-021
INT-HCDN-05397,APP-HCDN-01040,APP-HCDN-01581,event stream,monthly,high,data pipeline orchestrator,Cardiology,source-backed candidate,SRC-HCDN-INT-022
INT-HCDN-05398,APP-HCDN-01047,APP-HCDN-01598,batch extract,event-driven,standard,claims EDI gateway,Data and Analytics,source-backed candidate,SRC-HCDN-INT-023
INT-HCDN-05399,APP-HCDN-01054,APP-HCDN-01615,vendor API,nightly batch,standard,FHIR gateway,Clinical Analytics,source-backed candidate,SRC-HCDN-INT-024
INT-HCDN-05400,APP-HCDN-01061,APP-HCDN-01632,HL7 v2,real-time,critical,Epic Bridges,Actuarial,ambiguous endpoint name,SRC-HCDN-INT-025
INT-HCDN-05401,APP-HCDN-01068,APP-HCDN-01649,FHIR/API,near real-time,standard,interface engine,Departmental Reporting,source-backed candidate,SRC-HCDN-INT-026
INT-HCDN-05402,APP-HCDN-01075,APP-HCDN-01666,X12 EDI,hourly,standard,API gateway,AI Transformation,source-backed candidate,SRC-HCDN-INT-027
INT-HCDN-05403,APP-HCDN-01082,APP-HCDN-00013,SFTP flat file,daily,high,SFTP hub,Technology,source-backed candidate,SRC-HCDN-INT-028
INT-HCDN-05404,APP-HCDN-01089,APP-HCDN-00030,database link,weekly,standard,SSIS runtime,Security,source-backed candidate,SRC-HCDN-INT-029
INT-HCDN-05405,APP-HCDN-01096,APP-HCDN-00047,SSIS package,monthly,standard,data pipeline orchestrator,Procurement,source-backed candidate,SRC-HCDN-INT-030
INT-HCDN-05406,APP-HCDN-01103,APP-HCDN-00064,Epic Bridges,event-driven,high,claims EDI gateway,HR,source-backed candidate,SRC-HCDN-INT-031
INT-HCDN-05407,APP-HCDN-01110,APP-HCDN-00081,event stream,nightly batch,standard,FHIR gateway,Supply Chain,source-backed candidate,SRC-HCDN-INT-032
INT-HCDN-05408,APP-HCDN-01117,APP-HCDN-00098,batch extract,real-time,standard,Epic Bridges,Privacy,retired/active duplicate,SRC-HCDN-INT-033
INT-HCDN-05409,APP-HCDN-01124,APP-HCDN-00115,vendor API,near real-time,critical,interface engine,Compliance,source-backed candidate,SRC-HCDN-INT-034
