vendor_id,vendor_public_reference,vendor_category,strategic_tier,service_tower,primary_function,concentration_note
VEND-HCDN-454,Synthetic Healthcare Supplier 454,AI/document automation,emerging,Cloud Infrastructure and Data Center,Interoperability,standard review
VEND-HCDN-455,Synthetic Healthcare Supplier 455,telecom/network,strategic,Workplace and Contact Center,Population Health,exit sensitive
VEND-HCDN-456,Synthetic Healthcare Supplier 456,cybersecurity,major,Security Identity and Compliance,Health Plan Operations,standard review
VEND-HCDN-457,Synthetic Healthcare Supplier 457,identity,niche,Integration and Interoperability,Medicare Advantage,standard review
VEND-HCDN-458,Synthetic Healthcare Supplier 458,interoperability,incumbent,ERP and Corporate Platforms,Claims Operations,standard review
VEND-HCDN-459,Synthetic Healthcare Supplier 459,Epic/clinical platform,emerging,Clinical and Epic AMS,Utilization Management,standard review
VEND-HCDN-460,Synthetic Healthcare Supplier 460,claims administration,strategic,Payer Platform Operations,Member Services,concentration risk
VEND-HCDN-461,Synthetic Healthcare Supplier 461,PBM/pharmacy,major,Data Analytics and AI,Quality and Stars,standard review
VEND-HCDN-462,Synthetic Healthcare Supplier 462,BPO/contact center,niche,Revenue Cycle Technology,Risk Adjustment,standard review
VEND-HCDN-463,Synthetic Healthcare Supplier 463,revenue cycle,incumbent,Cloud Infrastructure and Data Center,Care Management,standard review
VEND-HCDN-464,Synthetic Healthcare Supplier 464,prior authorization/UM,emerging,Workplace and Contact Center,Finance,standard review
VEND-HCDN-465,Synthetic Healthcare Supplier 465,quality Stars HEDIS RAF,strategic,Security Identity and Compliance,Coding,standard review
VEND-HCDN-466,Synthetic Healthcare Supplier 466,payment integrity,major,Integration and Interoperability,Payer Contracting,standard review
VEND-HCDN-467,Synthetic Healthcare Supplier 467,cloud infrastructure,niche,ERP and Corporate Platforms,Digital Front Door,standard review
VEND-HCDN-468,Synthetic Healthcare Supplier 468,data analytics,incumbent,Clinical and Epic AMS,Contact Center,exit sensitive
VEND-HCDN-469,Synthetic Healthcare Supplier 469,AMS/IMS,emerging,Payer Platform Operations,Ambulatory Care,standard review
VEND-HCDN-470,Synthetic Healthcare Supplier 470,SaaS/software,strategic,Data Analytics and AI,Emergency Department,concentration risk
VEND-HCDN-471,Synthetic Healthcare Supplier 471,AI/document automation,major,Revenue Cycle Technology,Inpatient,standard review
VEND-HCDN-472,Synthetic Healthcare Supplier 472,telecom/network,niche,Cloud Infrastructure and Data Center,Surgery,standard review
VEND-HCDN-473,Synthetic Healthcare Supplier 473,cybersecurity,incumbent,Workplace and Contact Center,Imaging,standard review
VEND-HCDN-474,Synthetic Healthcare Supplier 474,identity,emerging,Security Identity and Compliance,Lab,standard review
VEND-HCDN-475,Synthetic Healthcare Supplier 475,interoperability,strategic,Integration and Interoperability,Pharmacy,standard review
VEND-HCDN-476,Synthetic Healthcare Supplier 476,Epic/clinical platform,major,ERP and Corporate Platforms,Oncology,standard review
VEND-HCDN-477,Synthetic Healthcare Supplier 477,claims administration,niche,Clinical and Epic AMS,Cardiology,standard review
VEND-HCDN-478,Synthetic Healthcare Supplier 478,PBM/pharmacy,incumbent,Payer Platform Operations,Data and Analytics,standard review
VEND-HCDN-479,Synthetic Healthcare Supplier 479,BPO/contact center,emerging,Data Analytics and AI,Clinical Analytics,standard review
VEND-HCDN-480,Synthetic Healthcare Supplier 480,revenue cycle,strategic,Revenue Cycle Technology,Actuarial,concentration risk
