integration_id,name,from_system_id,to_system_id,integration_type,frequency,criticality,notes
INT-00001,Customer-Salesforce-Engine-0046 to Crew-Infosys-Service-0726 via API,APP-00046,APP-00726,API,Hourly,Critical,daily_volume=3431069; failures_month=7; modernization=Migrate
INT-00973,Predictive-Snowflake-Hub-0203 to Baggage-Sabre AirVision-Hub-0243 via File Transfer,APP-00203,APP-00243,File Transfer,Daily,High,daily_volume=1151496; failures_month=104; modernization=Replatform
INT-00974,Sales-Oracle-Suite-0164 to Fare-Sabre-Suite-0377 via CDC,APP-00164,APP-00377,CDC,Weekly,Medium,daily_volume=525599; failures_month=44; modernization=Retain
INT-00975,Slot-Jeppesen-Suite-0367 to Network-Databricks-Suite-0697 via ELT,APP-00367,APP-00697,ELT,Weekly,Medium,daily_volume=2229532; failures_month=62; modernization=Retire
INT-00976,HR-Hexaware-Engine-0769 to Crew-Custom-Hub-0505 via File Transfer,APP-00769,APP-00505,File Transfer,Hourly,Medium,daily_volume=3617597; failures_month=90; modernization=Retain
INT-00977,Investor-SITA-Engine-0306 to Data-Oracle-Service-0140 via CDC,APP-00306,APP-00140,CDC,Hourly,Low,daily_volume=3162683; failures_month=57; modernization=Migrate
INT-00978,Procurement-SITA-Hub-0711 to Investor-SITA-Engine-0306 via Event,APP-00711,APP-00306,Event,Daily,Critical,daily_volume=6047809; failures_month=10; modernization=Modernize
INT-00979,Master-Hexaware-Platform-0429 to Vulnerability-Jeppesen-Suite-0654 via ETL,APP-00429,APP-00654,ETL,Hourly,Critical,daily_volume=7115777; failures_month=116; modernization=Replatform
INT-00980,Cargo-AIMS-Platform-0610 to Corporate-Oracle-Hub-0090 via ELT,APP-00610,APP-00090,ELT,Event,High,daily_volume=5319081; failures_month=81; modernization=Modernize
INT-00981,Storage-Lufthansa Systems-Platform-0570 to Mobile-TCS-Suite-0407 via ELT,APP-00570,APP-00407,ELT,Hourly,Critical,daily_volume=1539684; failures_month=26; modernization=Retain
INT-00982,Security-Microsoft-Platform-0255 to Data-Workday-Service-0722 via Event,APP-00255,APP-00722,Event,Event,High,daily_volume=765900; failures_month=54; modernization=Modernize
INT-00983,Engine-IBM-Platform-0551 to Storage-Accenture-Suite-0042 via CDC,APP-00551,APP-00042,CDC,Weekly,Critical,daily_volume=5584951; failures_month=50; modernization=Replace
INT-00984,Cargo-TCS-Platform-0031 to Disruption-TCS-Hub-0191 via Batch,APP-00031,APP-00191,Batch,Weekly,Medium,daily_volume=1241532; failures_month=96; modernization=Modernize
INT-00985,Parts-Infosys-Suite-0340 to Disruption-Snowflake-Manager-0002 via File Transfer,APP-00340,APP-00002,File Transfer,Event,Medium,daily_volume=446125; failures_month=80; modernization=Retire
INT-00986,Weight-Microsoft-Suite-0039 to Corporate-Databricks-Hub-0672 via ETL,APP-00039,APP-00672,ETL,Real-time,High,daily_volume=4711896; failures_month=114; modernization=Modernize
INT-00987,Customer-ServiceNow-Hub-0455 to Threat-Snowflake-Hub-0745 via CDC,APP-00455,APP-00745,CDC,Daily,High,daily_volume=2438658; failures_month=88; modernization=Invest
INT-00988,Baggage-IBM-Hub-0291 to Investor-SITA-Engine-0306 via CDC,APP-00291,APP-00306,CDC,Hourly,High,daily_volume=3693303; failures_month=43; modernization=Migrate
INT-00989,Fuel-Hexaware-Engine-0436 to Corporate-Oracle-Hub-0090 via Streaming,APP-00436,APP-00090,Streaming,Daily,High,daily_volume=1411608; failures_month=69; modernization=Modernize
INT-00990,Tax-Salesforce-Service-0591 to Digital-Custom-Manager-0831 via ETL,APP-00591,APP-00831,ETL,Weekly,Medium,daily_volume=2787052; failures_month=65; modernization=Retain
INT-00991,Weight-Custom-Hub-0832 to Parts-Databricks-Platform-0135 via Event,APP-00832,APP-00135,Event,Event,Medium,daily_volume=1423667; failures_month=95; modernization=Migrate
INT-00992,Customer-Teradata-Platform-0564 to Customer-TCS-Suite-0424 via Batch,APP-00564,APP-00424,Batch,Real-time,High,daily_volume=4596632; failures_month=71; modernization=Retire
INT-00993,Crew-AIMS-Platform-0364 to Ground-Custom-Platform-0603 via Batch,APP-00364,APP-00603,Batch,Weekly,Critical,daily_volume=6157237; failures_month=0; modernization=Modernize
INT-00994,Disruption-Sabre-Service-0158 to Container-Workday-Suite-0419 via Real-time,APP-00158,APP-00419,Real-time,Daily,Low,daily_volume=2255367; failures_month=113; modernization=Replatform
INT-00995,Network-Oracle-Manager-0312 to Disruption-TCS-Hub-0448 via ETL,APP-00312,APP-00448,ETL,Daily,High,daily_volume=4817102; failures_month=50; modernization=Migrate
INT-00996,Fare-Sabre-Suite-0377 to Parts-Jeppesen-Platform-0885 via Real-time,APP-00377,APP-00885,Real-time,Hourly,Medium,daily_volume=7515865; failures_month=106; modernization=Invest
INT-00997,Observability-Workday-Platform-0297 to Network-Databricks-Service-0081 via ELT,APP-00297,APP-00081,ELT,Real-time,Critical,daily_volume=5455506; failures_month=108; modernization=Replatform
INT-00998,Revenue-Databricks-Hub-0026 to Gate-Databricks-Platform-0159 via Batch,APP-00026,APP-00159,Batch,Event,Critical,daily_volume=4132080; failures_month=91; modernization=Replace
INT-00999,Data-Accenture-Manager-0059 to Inventory-Oracle-Engine-0887 via Real-time,APP-00059,APP-00887,Real-time,Weekly,Medium,daily_volume=2984353; failures_month=2; modernization=Invest
INT-01000,Disruption-Databricks-Manager-0211 to Disruption-Teradata-Hub-0780 via CDC,APP-00211,APP-00780,CDC,Daily,Low,daily_volume=3330706; failures_month=12; modernization=Retain
INT-01001,Engine-Sabre AirVision-Suite-0737 to Security-ServiceNow-Manager-0289 via ELT,APP-00737,APP-00289,ELT,Event,Low,daily_volume=5859086; failures_month=61; modernization=Invest
INT-01002,Component-SITA-Manager-0396 to Ancillary-Microsoft-Platform-0527 via Real-time,APP-00396,APP-00527,Real-time,Event,High,daily_volume=1301303; failures_month=16; modernization=Replace
INT-01003,Engine-Databricks-Hub-0077 to Mobile-TCS-Platform-0414 via ETL,APP-00077,APP-00414,ETL,Weekly,Medium,daily_volume=7452494; failures_month=85; modernization=Retain
INT-01004,Mainframe-SAP-Platform-0109 to Network-Sabre AirVision-Suite-0063 via ETL,APP-00109,APP-00063,ETL,Event,Low,daily_volume=3455381; failures_month=82; modernization=Replace
INT-01005,Identity-Accenture-Hub-0681 to Network-SITA-Manager-0084 via Event,APP-00681,APP-00084,Event,Weekly,High,daily_volume=1509922; failures_month=115; modernization=Retain
INT-01006,Maintenance-Workday-Manager-0387 to Procurement-Custom-Hub-0470 via API,APP-00387,APP-00470,API,Weekly,Low,daily_volume=1416232; failures_month=74; modernization=Replatform
INT-01007,Legal-Sabre AirVision-Platform-0815 to Line-SITA-Manager-0467 via ETL,APP-00815,APP-00467,ETL,Weekly,Medium,daily_volume=1616749; failures_month=34; modernization=Modernize
INT-01008,Fuel-Hexaware-Engine-0436 to Procurement-Snowflake-Suite-0615 via API,APP-00436,APP-00615,API,Weekly,High,daily_volume=4810670; failures_month=120; modernization=Retire
INT-01009,Ancillary-Jeppesen-Manager-0547 to Identity-Microsoft-Service-0139 via API,APP-00547,APP-00139,API,Weekly,Critical,daily_volume=1413015; failures_month=96; modernization=Retire
INT-01010,Storage-Sabre-Suite-0354 to Digital-Lufthansa Systems-Suite-0204 via CDC,APP-00354,APP-00204,CDC,Event,Low,daily_volume=183466; failures_month=83; modernization=Invest
INT-01011,Real-SAP-Service-0390 to Storage-Adobe-Engine-0662 via ELT,APP-00390,APP-00662,ELT,Daily,High,daily_volume=326622; failures_month=58; modernization=Modernize
INT-01012,Revenue-Salesforce-Platform-0196 to Line-Sabre AirVision-Hub-0619 via Event,APP-00196,APP-00619,Event,Daily,Low,daily_volume=4058730; failures_month=70; modernization=Replace
INT-01013,Component-Accenture-Platform-0319 to Identity-Sabre AirVision-Service-0228 via Event,APP-00319,APP-00228,Event,Daily,Medium,daily_volume=1829232; failures_month=30; modernization=Replace
INT-01014,Customer-Oracle-Suite-0405 to Data-Teradata-Suite-0168 via Batch,APP-00405,APP-00168,Batch,Daily,Low,daily_volume=1939577; failures_month=23; modernization=Modernize
INT-01015,Payroll-Oracle-Manager-0122 to Parts-Jeppesen-Platform-0885 via Event,APP-00122,APP-00885,Event,Weekly,Low,daily_volume=6321583; failures_month=72; modernization=Migrate
INT-01016,Tax-Jeppesen-Engine-0172 to Cargo-TCS-Platform-0031 via Streaming,APP-00172,APP-00031,Streaming,Daily,Medium,daily_volume=2623859; failures_month=2; modernization=Retire
INT-01017,Disruption-Sabre AirVision-Suite-0041 to Airworthiness-ServiceNow-Hub-0006 via Batch,APP-00041,APP-00006,Batch,Daily,Low,daily_volume=5837994; failures_month=3; modernization=Migrate
INT-01018,Parts-Salesforce-Manager-0035 to Observability-Microsoft-Hub-0225 via CDC,APP-00035,APP-00225,CDC,Weekly,Low,daily_volume=5609722; failures_month=22; modernization=Retire
INT-01019,Engine-Jeppesen-Platform-0628 to Observability-SAP-Hub-0618 via Event,APP-00628,APP-00618,Event,Real-time,Critical,daily_volume=4632740; failures_month=47; modernization=Retain
INT-01020,Contact-TCS-Suite-0801 to Crew-AIMS-Platform-0364 via CDC,APP-00801,APP-00364,CDC,Daily,Medium,daily_volume=3503293; failures_month=74; modernization=Invest
INT-01021,Ancillary-Workday-Engine-0884 to Component-SITA-Platform-0222 via Streaming,APP-00884,APP-00222,Streaming,Hourly,Medium,daily_volume=6620739; failures_month=109; modernization=Migrate
INT-01022,Revenue-Salesforce-Platform-0196 to Security-IBM-Suite-0263 via CDC,APP-00196,APP-00263,CDC,Daily,Critical,daily_volume=4163609; failures_month=84; modernization=Replatform
INT-01023,Self-Service-Lufthansa Systems-Hub-0723 to Inventory-Oracle-Engine-0325 via File Transfer,APP-00723,APP-00325,File Transfer,Real-time,High,daily_volume=3859330; failures_month=116; modernization=Replace
INT-01024,Gate-Salesforce-Engine-0656 to Reliability-AIMS-Suite-0015 via CDC,APP-00656,APP-00015,CDC,Event,Critical,daily_volume=1323325; failures_month=59; modernization=Retain
INT-01025,Crew-Custom-Service-0793 to Mobile-Teradata-Manager-0095 via Event,APP-00793,APP-00095,Event,Hourly,High,daily_volume=31995; failures_month=12; modernization=Modernize
INT-01026,Self-Service-Custom-Suite-0190 to Data-Microsoft-Platform-0598 via Real-time,APP-00190,APP-00598,Real-time,Hourly,High,daily_volume=2437718; failures_month=116; modernization=Retain
INT-01027,End-Accenture-Engine-0240 to Payroll-Microsoft-Manager-0702 via ELT,APP-00240,APP-00702,ELT,Daily,Medium,daily_volume=4785060; failures_month=5; modernization=Replace
INT-01028,Self-Service-SAP-Manager-0282 to Baggage-Sabre AirVision-Suite-0092 via ETL,APP-00282,APP-00092,ETL,Event,Medium,daily_volume=7570844; failures_month=22; modernization=Migrate
INT-01029,Inventory-Teradata-Hub-0452 to Metadata-IBM-Engine-0820 via Batch,APP-00452,APP-00820,Batch,Weekly,Medium,daily_volume=6848464; failures_month=40; modernization=Replace
INT-01030,Treasury-ServiceNow-Platform-0040 to Weight-Teradata-Hub-0601 via Batch,APP-00040,APP-00601,Batch,Weekly,High,daily_volume=5298404; failures_month=13; modernization=Modernize
INT-01031,Business-Snowflake-Manager-0748 to Fuel-Snowflake-Engine-0447 via Real-time,APP-00748,APP-00447,Real-time,Hourly,Critical,daily_volume=1799028; failures_month=93; modernization=Retain
INT-01032,Crew-Jeppesen-Manager-0136 to Slot-Infosys-Hub-0106 via Real-time,APP-00136,APP-00106,Real-time,Weekly,High,daily_volume=470337; failures_month=95; modernization=Retire
INT-01033,Mainframe-Infosys-Hub-0665 to Payroll-IBM-Suite-0138 via CDC,APP-00665,APP-00138,CDC,Weekly,High,daily_volume=1747243; failures_month=48; modernization=Migrate
INT-01034,Fuel-Amadeus-Manager-0300 to Sales-Oracle-Suite-0164 via Event,APP-00300,APP-00164,Event,Hourly,Low,daily_volume=5888662; failures_month=46; modernization=Replace
INT-01035,Inventory-Custom-Platform-0868 to Component-Oracle-Service-0163 via Event,APP-00868,APP-00163,Event,Real-time,High,daily_volume=1499417; failures_month=81; modernization=Retain
INT-01036,Digital-Custom-Manager-0831 to Engine-Jeppesen-Platform-0628 via File Transfer,APP-00831,APP-00628,File Transfer,Event,Critical,daily_volume=7018480; failures_month=34; modernization=Replatform
INT-01037,Self-Service-Microsoft-Hub-0293 to Ancillary-Microsoft-Platform-0527 via ELT,APP-00293,APP-00527,ELT,Real-time,Low,daily_volume=1371886; failures_month=63; modernization=Replatform
INT-01038,Self-Service-Sabre AirVision-Suite-0674 to Digital-Custom-Manager-0831 via API,APP-00674,APP-00831,API,Hourly,Medium,daily_volume=598007; failures_month=75; modernization=Retain
INT-01039,MRO-Snowflake-Manager-0019 to Data-Teradata-Suite-0168 via API,APP-00019,APP-00168,API,Event,Low,daily_volume=1096872; failures_month=32; modernization=Replatform
INT-01040,Network-Workday-Suite-0549 to Disruption-Salesforce-Platform-0070 via Streaming,APP-00549,APP-00070,Streaming,Hourly,Critical,daily_volume=4412510; failures_month=116; modernization=Migrate
INT-01041,Self-Service-Infosys-Manager-0395 to Slot-SITA-Engine-0676 via Batch,APP-00395,APP-00676,Batch,Real-time,Critical,daily_volume=6309804; failures_month=93; modernization=Modernize
INT-01042,Weight-SAP-Hub-0687 to Compute-Custom-Service-0626 via ETL,APP-00687,APP-00626,ETL,Hourly,Medium,daily_volume=7273108; failures_month=40; modernization=Retire
INT-01043,Gate-Oracle-Hub-0045 to Compute-AIMS-Manager-0108 via File Transfer,APP-00045,APP-00108,File Transfer,Weekly,Low,daily_volume=414059; failures_month=67; modernization=Retain
INT-01044,Ground-Hexaware-Engine-0094 to Data-Infosys-Hub-0359 via Batch,APP-00094,APP-00359,Batch,Daily,High,daily_volume=5355437; failures_month=87; modernization=Invest
INT-01045,Cloud-Jeppesen-Manager-0545 to Reliability-Accenture-Manager-0613 via Real-time,APP-00545,APP-00613,Real-time,Real-time,Critical,daily_volume=3890790; failures_month=89; modernization=Modernize
INT-01046,Inventory-Snowflake-Platform-0124 to Privileged-Microsoft-Suite-0237 via ETL,APP-00124,APP-00237,ETL,Daily,Medium,daily_volume=7265634; failures_month=30; modernization=Replatform
INT-01047,Observability-Sabre-Platform-0397 to Revenue-Amadeus-Manager-0614 via Streaming,APP-00397,APP-00614,Streaming,Weekly,Low,daily_volume=7892113; failures_month=64; modernization=Replace
INT-01048,Investor-SITA-Engine-0306 to Inventory-IBM-Suite-0226 via Batch,APP-00306,APP-00226,Batch,Daily,Critical,daily_volume=6054923; failures_month=25; modernization=Invest
INT-01049,Network-Jeppesen-Platform-0264 to Revenue-Databricks-Hub-0026 via Event,APP-00264,APP-00026,Event,Hourly,High,daily_volume=3292446; failures_month=88; modernization=Retain
INT-01050,Data-Microsoft-Suite-0581 to Ancillary-Jeppesen-Manager-0547 via Event,APP-00581,APP-00547,Event,Daily,High,daily_volume=7067536; failures_month=12; modernization=Replatform
INT-01051,Airworthiness-Workday-Suite-0718 to Container-Sabre AirVision-Service-0427 via File Transfer,APP-00718,APP-00427,File Transfer,Event,High,daily_volume=2731434; failures_month=34; modernization=Replatform
INT-01052,Privileged-Amadeus-Hub-0889 to Digital-Workday-Manager-0699 via CDC,APP-00889,APP-00699,CDC,Daily,Low,daily_volume=6861043; failures_month=38; modernization=Retire
INT-01053,Loyalty-Teradata-Hub-0336 to Metadata-Teradata-Engine-0343 via Real-time,APP-00336,APP-00343,Real-time,Weekly,Medium,daily_volume=7106130; failures_month=74; modernization=Replace
INT-01054,Customer-Workday-Platform-0105 to Revenue-SAP-Engine-0647 via Real-time,APP-00105,APP-00647,Real-time,Real-time,High,daily_volume=2947748; failures_month=9; modernization=Migrate
INT-01055,Line-Sabre-Hub-0347 to Vulnerability-Oracle-Service-0497 via File Transfer,APP-00347,APP-00497,File Transfer,Hourly,Medium,daily_volume=6004114; failures_month=88; modernization=Replace
INT-01056,Flight-Oracle-Suite-0660 to Legal-Oracle-Engine-0684 via Event,APP-00660,APP-00684,Event,Hourly,Medium,daily_volume=7498690; failures_month=46; modernization=Replace
INT-01057,Treasury-Sabre-Manager-0246 to Fuel-Databricks-Suite-0506 via ELT,APP-00246,APP-00506,ELT,Hourly,Critical,daily_volume=4992813; failures_month=23; modernization=Migrate
INT-01058,Ancillary-Sabre-Hub-0023 to Container-Salesforce-Hub-0185 via ETL,APP-00023,APP-00185,ETL,Event,Critical,daily_volume=4465312; failures_month=52; modernization=Retire
INT-01059,Ground-Salesforce-Hub-0280 to Network-Infosys-Hub-0332 via API,APP-00280,APP-00332,API,Daily,High,daily_volume=6819882; failures_month=59; modernization=Migrate
INT-01060,Vulnerability-Sabre-Platform-0313 to Network-Teradata-Hub-0050 via Batch,APP-00313,APP-00050,Batch,Hourly,Critical,daily_volume=1533558; failures_month=64; modernization=Modernize
INT-01061,Container-Snowflake-Service-0087 to Observability-SAP-Suite-0709 via Batch,APP-00087,APP-00709,Batch,Weekly,Critical,daily_volume=1188673; failures_month=112; modernization=Retain
INT-01062,Weight-Teradata-Platform-0495 to Cargo-Snowflake-Service-0860 via Batch,APP-00495,APP-00860,Batch,Real-time,High,daily_volume=3752800; failures_month=116; modernization=Retire
INT-01063,Security-ServiceNow-Manager-0289 to Corporate-Teradata-Engine-0242 via API,APP-00289,APP-00242,API,Hourly,Medium,daily_volume=6593255; failures_month=20; modernization=Modernize
INT-01064,Disruption-Salesforce-Platform-0541 to Data-Accenture-Service-0649 via ELT,APP-00541,APP-00649,ELT,Hourly,Critical,daily_volume=2027611; failures_month=5; modernization=Replatform
INT-01065,Observability-SAP-Hub-0618 to Container-Amadeus-Platform-0317 via Batch,APP-00618,APP-00317,Batch,Hourly,High,daily_volume=2268006; failures_month=63; modernization=Retire
INT-01066,Gate-Snowflake-Service-0515 to Lounge-Hexaware-Service-0198 via Real-time,APP-00515,APP-00198,Real-time,Weekly,Low,daily_volume=5850778; failures_month=49; modernization=Migrate
INT-01067,Reliability-Sabre AirVision-Suite-0393 to Customer-Sabre AirVision-Platform-0695 via ELT,APP-00393,APP-00695,ELT,Event,Medium,daily_volume=1179039; failures_month=108; modernization=Invest
INT-01068,Observability-TCS-Suite-0056 to Data-SAP-Engine-0202 via File Transfer,APP-00056,APP-00202,File Transfer,Hourly,Medium,daily_volume=4436774; failures_month=113; modernization=Retire
INT-01069,Baggage-Teradata-Engine-0038 to Slot-Amadeus-Suite-0362 via CDC,APP-00038,APP-00362,CDC,Weekly,Medium,daily_volume=2859760; failures_month=19; modernization=Migrate
INT-01070,Observability-Infosys-Platform-0324 to Gate-ServiceNow-Hub-0188 via ETL,APP-00324,APP-00188,ETL,Real-time,High,daily_volume=7823593; failures_month=88; modernization=Migrate
INT-01071,Data-Microsoft-Platform-0598 to Fuel-SAP-Manager-0641 via Real-time,APP-00598,APP-00641,Real-time,Hourly,Medium,daily_volume=2913280; failures_month=79; modernization=Retire
INT-01072,Ground-Amadeus-Suite-0705 to Business-Infosys-Platform-0423 via ETL,APP-00705,APP-00423,ETL,Event,Medium,daily_volume=1322996; failures_month=37; modernization=Modernize
INT-01073,Revenue-AIMS-Suite-0529 to Gate-Workday-Platform-0703 via Streaming,APP-00529,APP-00703,Streaming,Hourly,Critical,daily_volume=1166778; failures_month=77; modernization=Invest
INT-01074,Revenue-Databricks-Hub-0026 to Component-Amadeus-Service-0069 via ETL,APP-00026,APP-00069,ETL,Hourly,High,daily_volume=1863214; failures_month=79; modernization=Migrate
INT-01075,Fare-Sabre-Suite-0377 to Sales-TCS-Engine-0507 via Batch,APP-00377,APP-00507,Batch,Weekly,Low,daily_volume=6634447; failures_month=77; modernization=Replace
INT-01076,Line-Lufthansa Systems-Suite-0223 to Crew-SAP-Service-0543 via Event,APP-00223,APP-00543,Event,Daily,Critical,daily_volume=2956277; failures_month=72; modernization=Invest
INT-01077,Airworthiness-ServiceNow-Hub-0006 to Component-Snowflake-Service-0206 via Event,APP-00006,APP-00206,Event,Real-time,Low,daily_volume=7718990; failures_month=64; modernization=Retire
INT-01078,Compute-Accenture-Manager-0363 to Loyalty-Teradata-Hub-0336 via API,APP-00363,APP-00336,API,Hourly,High,daily_volume=4814875; failures_month=83; modernization=Invest
INT-01079,Loyalty-Amadeus-Engine-0376 to Ancillary-Infosys-Hub-0898 via ELT,APP-00376,APP-00898,ELT,Hourly,Critical,daily_volume=2864658; failures_month=73; modernization=Retain
INT-01080,Identity-Lufthansa Systems-Service-0710 to Engine-Sabre AirVision-Suite-0737 via Real-time,APP-00710,APP-00737,Real-time,Real-time,Critical,daily_volume=7006028; failures_month=93; modernization=Retire
INT-01081,Weight-Lufthansa Systems-Suite-0664 to Crew-ServiceNow-Manager-0571 via Real-time,APP-00664,APP-00571,Real-time,Event,High,daily_volume=3777162; failures_month=82; modernization=Modernize
INT-01082,Flight-Teradata-Service-0792 to Customer-Workday-Platform-0105 via Streaming,APP-00792,APP-00105,Streaming,Hourly,Medium,daily_volume=1012044; failures_month=50; modernization=Retire
INT-01083,Network-AIMS-Suite-0117 to Airworthiness-Salesforce-Suite-0554 via Batch,APP-00117,APP-00554,Batch,Event,Critical,daily_volume=1341462; failures_month=82; modernization=Replace
INT-01084,Component-Accenture-Platform-0319 to Digital-Microsoft-Hub-0686 via Event,APP-00319,APP-00686,Event,Hourly,Critical,daily_volume=7305221; failures_month=71; modernization=Invest
INT-01085,Inventory-ServiceNow-Manager-0502 to Heavy-Sabre-Suite-0638 via ETL,APP-00502,APP-00638,ETL,Hourly,Critical,daily_volume=5975534; failures_month=105; modernization=Replace
INT-01086,Procurement-Teradata-Platform-0484 to Baggage-Snowflake-Manager-0510 via File Transfer,APP-00484,APP-00510,File Transfer,Weekly,Low,daily_volume=5182146; failures_month=61; modernization=Invest
INT-01087,Customer-Hexaware-Platform-0719 to Treasury-ServiceNow-Platform-0040 via Real-time,APP-00719,APP-00040,Real-time,Event,High,daily_volume=3242295; failures_month=96; modernization=Modernize
INT-01088,Maintenance-IBM-Service-0071 to Reliability-SITA-Service-0853 via ELT,APP-00071,APP-00853,ELT,Hourly,Low,daily_volume=4977538; failures_month=52; modernization=Invest
INT-01089,Procurement-Hexaware-Engine-0822 to Maintenance-Salesforce-Manager-0499 via ETL,APP-00822,APP-00499,ETL,Real-time,Low,daily_volume=5842602; failures_month=82; modernization=Replatform
INT-01090,Parts-Jeppesen-Hub-0352 to Security-Sabre AirVision-Service-0779 via Real-time,APP-00352,APP-00779,Real-time,Event,Critical,daily_volume=6933403; failures_month=30; modernization=Replatform
INT-01091,Disruption-Snowflake-Hub-0356 to Mainframe-ServiceNow-Platform-0151 via API,APP-00356,APP-00151,API,Real-time,Medium,daily_volume=2120436; failures_month=53; modernization=Modernize
INT-01092,Crew-Salesforce-Engine-0869 to Cloud-Infosys-Engine-0288 via Batch,APP-00869,APP-00288,Batch,Hourly,High,daily_volume=1636986; failures_month=118; modernization=Invest
INT-01093,Crew-Custom-Service-0161 to Sales-Snowflake-Manager-0892 via Event,APP-00161,APP-00892,Event,Hourly,Low,daily_volume=7418703; failures_month=36; modernization=Migrate
INT-01094,Tax-Microsoft-Platform-0708 to Crew-ServiceNow-Service-0559 via Real-time,APP-00708,APP-00559,Real-time,Real-time,High,daily_volume=4653064; failures_month=83; modernization=Migrate
INT-01095,Master-Adobe-Manager-0513 to Customer-Sabre AirVision-Platform-0695 via Event,APP-00513,APP-00695,Event,Real-time,High,daily_volume=5087627; failures_month=89; modernization=Migrate
INT-01096,Disruption-IBM-Manager-0475 to Storage-Sabre-Suite-0354 via CDC,APP-00475,APP-00354,CDC,Hourly,Low,daily_volume=7179433; failures_month=52; modernization=Replace
INT-01097,Service-AIMS-Engine-0114 to Metadata-Microsoft-Engine-0399 via API,APP-00114,APP-00399,API,Event,Low,daily_volume=3209621; failures_month=54; modernization=Retire
INT-01098,Metadata-SAP-Engine-0758 to Inventory-Oracle-Engine-0325 via Batch,APP-00758,APP-00325,Batch,Daily,High,daily_volume=7820457; failures_month=10; modernization=Retain
INT-01099,Gate-Sabre AirVision-Service-0406 to Weight-Microsoft-Suite-0039 via ETL,APP-00406,APP-00039,ETL,Event,Low,daily_volume=1712942; failures_month=50; modernization=Replace
INT-01100,Self-Service-SAP-Manager-0282 to Slot-AIMS-Engine-0256 via Streaming,APP-00282,APP-00256,Streaming,Hourly,Critical,daily_volume=998308; failures_month=49; modernization=Replace
INT-01101,Network-Sabre-Service-0841 to Airworthiness-Sabre-Manager-0608 via API,APP-00841,APP-00608,API,Real-time,Low,daily_volume=382532; failures_month=12; modernization=Replace
INT-01102,Slot-Accenture-Service-0750 to Pricing-Amadeus-Platform-0257 via Batch,APP-00750,APP-00257,Batch,Event,High,daily_volume=2356716; failures_month=40; modernization=Replatform
INT-01103,Network-Workday-Suite-0549 to Cloud-Accenture-Platform-0836 via Batch,APP-00549,APP-00836,Batch,Hourly,Low,daily_volume=1551711; failures_month=32; modernization=Retain
INT-01104,Master-Salesforce-Hub-0307 to Identity-AIMS-Manager-0132 via ETL,APP-00307,APP-00132,ETL,Event,Low,daily_volume=7001234; failures_month=102; modernization=Migrate
INT-01105,Inventory-TCS-Engine-0322 to Revenue-Sabre-Suite-0476 via Batch,APP-00322,APP-00476,Batch,Real-time,Low,daily_volume=6738838; failures_month=84; modernization=Invest
INT-01106,Disruption-Teradata-Suite-0295 to Real-Sabre-Suite-0327 via File Transfer,APP-00295,APP-00327,File Transfer,Hourly,Low,daily_volume=1887325; failures_month=31; modernization=Retain
INT-01107,Component-Snowflake-Service-0206 to Codeshare-Databricks-Platform-0878 via ETL,APP-00206,APP-00878,ETL,Event,Critical,daily_volume=5863069; failures_month=37; modernization=Replatform
INT-01108,Reliability-Sabre AirVision-Hub-0385 to Heavy-AIMS-Suite-0584 via CDC,APP-00385,APP-00584,CDC,Weekly,Low,daily_volume=24567; failures_month=2; modernization=Replatform
INT-01109,Revenue-Workday-Platform-0734 to Parts-Infosys-Suite-0340 via Streaming,APP-00734,APP-00340,Streaming,Weekly,Medium,daily_volume=1856411; failures_month=98; modernization=Retain
INT-01110,Reliability-AIMS-Manager-0823 to Reliability-AIMS-Manager-0823 via API,APP-00823,APP-00823,API,Event,High,daily_volume=916719; failures_month=103; modernization=Modernize
INT-01111,Line-Adobe-Hub-0166 to Cloud-TCS-Hub-0053 via Real-time,APP-00166,APP-00053,Real-time,Hourly,Medium,daily_volume=2291235; failures_month=56; modernization=Invest
INT-01112,Privileged-Oracle-Service-0464 to Disruption-IBM-Suite-0178 via Batch,APP-00464,APP-00178,Batch,Daily,Medium,daily_volume=5960263; failures_month=95; modernization=Invest
INT-01113,Reliability-Snowflake-Suite-0233 to Ancillary-Infosys-Manager-0633 via ETL,APP-00233,APP-00633,ETL,Real-time,High,daily_volume=6493561; failures_month=74; modernization=Retain
INT-01114,Component-Accenture-Service-0650 to Reliability-ServiceNow-Suite-0195 via Batch,APP-00650,APP-00195,Batch,Daily,Critical,daily_volume=2982402; failures_month=91; modernization=Replace
INT-01115,Legal-Adobe-Platform-0076 to Inventory-ServiceNow-Engine-0247 via CDC,APP-00076,APP-00247,CDC,Daily,Critical,daily_volume=746063; failures_month=4; modernization=Replatform
INT-01116,Line-Microsoft-Service-0843 to Digital-Microsoft-Hub-0686 via API,APP-00843,APP-00686,API,Hourly,High,daily_volume=938100; failures_month=75; modernization=Invest
INT-01117,Legal-Sabre AirVision-Platform-0815 to Lounge-SITA-Engine-0802 via ETL,APP-00815,APP-00802,ETL,Event,High,daily_volume=5393790; failures_month=78; modernization=Retire
INT-01118,Data-TCS-Hub-0271 to Self-Service-Infosys-Service-0576 via Event,APP-00271,APP-00576,Event,Event,Medium,daily_volume=3323016; failures_month=2; modernization=Retire
