wave,module,current_object_or_path,current_authority,current_writers,current_readers,target_operational_owner,provisional_canonical_object_family,mapping_confidence,target_consumption_projection,migration_method,historical_backfill,dual_run_requirement,reconciliation_rule,cutover_dependency,rollback_path,read_only_observation_period,archive_requirement,drop_authorization,status
Wave 1 identity and references,Tower,public.ai_control_spend_contracts,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,knowledge.contract,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,public.ai_control_tool_usage_monthly,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,knowledge.metric_observation,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 5 cross-module consumption,Tower,public.ai_control_tower_lens_mv,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,,,consumption.ai_control_tower_lens_mv,Build/refresh projection from active publications; dual-read compare before switching consumers,Backfill published observations needed for baseline reports and exports,Required: old module read versus new projection read,"Counts, tenant scope, lineage, period, unit, and headline metric parity",Build stable projection; dual-read compare; switch dashboards/aVa after parity.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.ai_tool_footprint,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/tower/value-states/repository.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,public.application_portfolio,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/tower/value-states/repository.ts,Tower until publication,knowledge.application,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.clients,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,scripts/audit/ai-egress-cost-trace.ts; scripts/audit/demo-question-readiness.mjs; scripts/audit/live-tenant-population-audit.mjs; scripts/qa/home-intelligence-50q-live-audit.mjs; scripts/source/load-skyharbor-contract-optimization.ts; scripts/tower/ensure-lakeshore-industries-client.mjs; src/lib/tower/ingest/github-dora/ingest.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.discovery_instruments,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/tower/value-states/repository.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.dora_baselines,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/tower/value-states/repository.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.engagements,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,scripts/audit/knowledge-layer-inventory.sql; scripts/audit/live-tenant-population-audit.mjs; src/lib/tower/value-states/__tests__/repository.azure-read.test.ts; src/lib/tower/value-states/repository.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,public.enterprise_context_records,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,scripts/audit/build-module-migration-sunset-backlog.mjs; scripts/qa/home-know-data-gate.mjs; src/lib/tower/tower-budget-rollups.ts; src/lib/tower/tower-semantic-projection.ts,Tower until publication,to_be_mapped_after_live_profile,unresolved,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.kill_criteria,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/tower/value-states/repository.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.pricing_towers,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.roles_inventory,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/tower/value-states/repository.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.teams,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/tower/value-states/types.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.tower_ai_tool_usage,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/cio-tower/mart-projection/tool-identity-crosswalk.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 5 cross-module consumption,Tower,public.tower_budget_rollups,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,,,consumption.tower_budget_rollups,Build/refresh projection from active publications; dual-read compare before switching consumers,Backfill published observations needed for baseline reports and exports,Required: old module read versus new projection read,"Counts, tenant scope, lineage, period, unit, and headline metric parity",Build stable projection; dual-read compare; switch dashboards/aVa after parity.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.tower_claude_code_usage,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.tower_cloud_cost,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,public.tower_cmdb_cis,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/tower/ingest/servicenow-cmdb/upsert.ts,Tower until publication,knowledge.application,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 5 cross-module consumption,Tower,public.tower_cmdb_dependencies,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/tower/ingest/servicenow-cmdb/upsert.ts,Tower until publication,,,consumption.relationship_tower_cmdb_dependencies,Build/refresh projection from active publications; dual-read compare before switching consumers,Backfill published observations needed for baseline reports and exports,Required: old module read versus new projection read,"Counts, tenant scope, lineage, period, unit, and headline metric parity",Build stable projection; dual-read compare; switch dashboards/aVa after parity.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Wave 5 cross-module consumption,Tower,public.tower_dora_metrics,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/tower/ingest/github-dora/ingest.ts,Tower until publication,,,consumption.metric_tower_dora_metrics,Build/refresh projection from active publications; dual-read compare before switching consumers,Backfill published observations needed for baseline reports and exports,Required: old module read versus new projection read,"Counts, tenant scope, lineage, period, unit, and headline metric parity",Build stable projection; dual-read compare; switch dashboards/aVa after parity.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.tower_forbidden_identifiers,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.tower_gap_register,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.tower_itsm_records,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/tower/ingest/servicenow-itsm/writer.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.tower_jira_issues,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.tower_l3_answer_dossiers,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/tower/tower-l3-dossiers.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.tower_materialization_runs,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 5 cross-module consumption,Tower,public.tower_program_financials,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/tower/ingest/erp/writer.ts,Tower until publication,,,consumption.metric_tower_program_financials,Build/refresh projection from active publications; dual-read compare before switching consumers,Backfill published observations needed for baseline reports and exports,Required: old module read versus new projection read,"Counts, tenant scope, lineage, period, unit, and headline metric parity",Build stable projection; dual-read compare; switch dashboards/aVa after parity.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.tower_read_model_initiatives,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,public.tower_read_model_vendors,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower until publication,knowledge.vendor,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.tower_spend_realism_audit,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.tower_user_preferences,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,No focused code consumer found,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 5 cross-module consumption,Tower,public.tower_vendor_spend,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/tower/ingest/erp/writer.ts,Tower until publication,,,consumption.metric_tower_vendor_spend,Build/refresh projection from active publications; dual-read compare before switching consumers,Backfill published observations needed for baseline reports and exports,Required: old module read versus new projection read,"Counts, tenant scope, lineage, period, unit, and headline metric parity",Build stable projection; dual-read compare; switch dashboards/aVa after parity.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.tower_workforce,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/tower/ingest/workday-hcm/ingest.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
Wave 1 identity and references,Tower,public.use_cases,Candidate/domain-derived; not canonical until promoted,Live writer inspection required; static audit records focused consumers only,src/lib/tower/ingest-portfolio.ts,Tower until publication,knowledge.program,provisional,,Map local IDs through governance.object_identity_map; publish reviewed facts through canonical adapter,Backfill approved/current rows only after stale/superseded filtering,Required for promoted object family until identity and fact parity pass,One local object maps to one canonical object or an explicit reviewed many-to-one link,Backfill identity map; shadow-read canonical projection; switch consumers after reconciliation.,Revert consumer flag to domain read path; preserve published rows as superseded audit evidence,30-60 days after new read primary,Keep legacy rows immutable during observation,Explicit later approval required; not authorized by this package,planning_only
Module-specific workflow preservation,Tower,public.value_states,Domain workflow system of record,Live writer inspection required; static audit records focused consumers only,src/lib/tower/value-states/repository.ts,Tower,,,,Preserve current table; add publication outbox only when accepted enterprise facts are emitted,No backfill until workflow emits accepted publication,No dual-run until a consumer moves off local reads,Operational behavior must remain unchanged,Keep domain owner path; publish outbox if facts are accepted.,Keep current domain read/write path,Not applicable before consumer migration,None now,Explicit later approval required; not authorized by this package,planning_only
